FORE_data,t2m_catboost_global_q,rh2m_catboost_global_q,w10m_catboost_global_q
90001_00,13.7,22.0,2.8
90001_01,14.8,21.0,3.4
90001_02,15.3,21.0,2.9
90001_03,15.9,20.0,1.6
90001_04,16.099355688247886,19.385729742748733,2.160983004499031
90001_05,15.716832469625613,20.4655666638988,2.0577473497123493
90001_06,13.226415059369323,28.570755892935054,1.4587740847550676
90001_07,10.599636583848707,38.159531994892795,1.2786659504270013
90001_08,8.632972083270039,48.27005444674341,1.1529668024074249
90001_09,7.305532205500398,54.788812246028584,1.029377199445406
90001_10,6.091859250017349,59.46456330143338,0.9564988205335275
90001_11,5.24213686051397,63.205664518396276,0.9582685528406559
90001_12,4.362696508671068,65.85355586207088,0.9324921028169302
90001_13,3.5121942641003354,68.2870022885617,0.9372573081906057
90001_14,2.4638858144455837,70.05551085740255,0.9221942385106093
90001_15,1.5322221143384416,72.03097881541822,0.9186838397668328
90001_16,1.0662665925765136,75.1387399374268,0.9198161793452894
90001_17,0.372986323588201,76.54701892638813,0.9382473014208341
90001_18,-0.006009282484119137,76.98450564603708,0.9213993329287087
90001_19,-0.028707279828049524,77.73250942411877,0.8959712938160694
90001_20,0.2917848215657455,77.12595363794405,0.8709083504760381
90001_21,2.6165496209764747,71.43500332542921,0.8658977332741415
90001_22,6.2361194036811245,56.43458082700304,0.9211165816667206
90001_23,9.420682460910934,42.192644485750314,1.3658656389666624
90001_24,11.869735521016684,32.92134096193371,1.588029190033713
90001_25,13.830090300309223,26.280938055654236,1.785245019096484
90001_26,15.207004664167945,22.4089823495164,1.9998996682083192
90001_27,16.072431630315833,19.704549466289745,2.2097677645557563
90001_28,16.224029961347163,18.334647987286896,2.28088057678032
90001_29,15.770171050679991,19.744607440802948,1.9096745076477337
90001_30,13.34894945575123,26.718098669913452,1.5542988690095934
90001_31,10.436058457837248,35.80212381471296,1.2130506399091152
90001_32,8.680001269719268,44.89024830317642,1.0985502075137699
90001_33,7.483481770031587,50.79462347299139,1.0064351348320022
90001_34,6.189300358998759,56.364922669096806,0.9693081875949906
90001_35,5.292109324461064,60.95694126527989,0.9024842470194511
90001_36,4.466259469214229,64.4008029246985,0.8854959606360234
90002_00,13.4,31.0,2.4
90002_01,15.0,24.0,1.5
90002_02,15.7,23.0,1.3
90002_03,16.0,23.0,2.8
90002_04,16.197480043042617,22.594916587959727,2.228173266587302
90002_05,15.782429701763144,22.99849543569698,2.0312166993593994
90002_06,13.832916905746652,27.9148751662325,1.5134936505744967
90002_07,11.560277151416457,34.84331629077031,1.2643892042076401
90002_08,9.767389139609003,41.04212049197282,1.1458750620844296
90002_09,8.510909004114305,46.11805178181329,1.1431023481954141
90002_10,7.501017108983028,50.70184985086857,1.1079227220144232
90002_11,6.842329587528739,54.680835543473705,1.0915768633274585
90002_12,6.029250586581011,58.295399931450135,1.035616350553218
90002_13,5.376048079983272,61.556486900744204,1.0364172122169577
90002_14,4.813756409263401,64.36644494001831,1.0039352013887577
90002_15,4.163385958398459,66.87414423861175,0.9128629427827261
90002_16,3.5411458020490985,68.93922800640782,0.9338021771620165
90002_17,2.9576370199394093,70.77242657535658,0.936158285292064
90002_18,2.6646286852163916,71.73137555892768,0.9064073371222517
90002_19,2.4198538231849187,72.90976508323654,0.9325883577615872
90002_20,2.3971535490710854,72.77149588286447,0.9411792190018559
90002_21,4.208714653905631,67.92615552544132,0.9732544535892614
90002_22,7.300106644259414,55.0589144862656,0.9790213139375292
90002_23,9.873345226880378,44.40142026366712,1.0118833302078576
90002_24,12.192193934023171,35.02261017230458,1.1953886525242559
90002_25,13.83794109614807,29.317981035655173,1.2522240197091254
90002_26,15.011840151491713,26.722654208299026,1.3101514739651214
90002_27,15.839393245357583,24.972001321673808,1.3512031421991846
90002_28,16.287088552526725,24.27188610082237,1.39815591478584
90002_29,15.732953106625713,25.96051262059065,1.2697652214003354
90002_30,13.529089655537751,31.764780836693667,0.9658641082269925
90002_31,10.997227411411007,40.56096735082163,0.8135401562175135
90002_32,8.9319150937521,48.71563729402027,0.7941657079033616
90002_33,7.504583707728473,55.22271619448642,0.8628136636634149
90002_34,6.696460498921579,60.64247579012471,0.8700697070703557
90002_35,5.785817235755836,64.62546907570605,0.8609835321687185
90002_36,5.120228809147315,66.96336855423885,0.8375477567055902
90003_00,10.0,26.0,4.9
90003_01,11.3,24.0,4.2
90003_02,13.3,22.0,3.6
90003_03,13.5,21.0,2.2
90003_04,13.599955404356654,20.757453983300355,2.8980282458485394
90003_05,12.776896862456024,21.72880178995627,2.91004033126466
90003_06,10.867058750003142,25.202383453457394,2.623103575986699
90003_07,9.144295652146857,29.234573281958834,2.4412057556711115
90003_08,7.803925450572555,33.61844820591791,2.2562633665851886
90003_09,6.494594288067463,37.3869322219148,2.1368067697219644
90003_10,5.418542021502107,41.944434502739306,2.032174688944239
90003_11,4.579847884393091,46.18667423182563,1.843685687417944
90003_12,3.61709983386981,50.248143781208455,1.7126077555416857
90003_13,2.905627882667998,55.05376296634935,1.583723894699731
90003_14,2.1956186126375927,58.86183706023878,1.450346533414314
90003_15,1.5037870171118668,62.36866951893091,1.3959890590925956
90003_16,1.0150579422948702,65.27560666617246,1.3305549295782375
90003_17,0.3069219976954761,68.02342482552042,1.3140988506386062
90003_18,-0.2228839649771925,70.22162603052739,1.2282986266175737
90003_19,-0.7499360955528209,71.76606735349812,1.2160518022040065
90003_20,-0.6587121354016087,71.63155399639543,1.3071854617347103
90003_21,1.0571317044616706,66.46466324493336,1.3388261870355127
90003_22,4.018700648648091,55.40265147531533,1.5755141142637488
90003_23,6.985972099048204,43.781853123971054,1.7207551374839019
90003_24,9.358677630033599,33.52296428668425,2.1662893706609068
90003_25,11.369816578718506,27.059174785052715,2.4447867110877586
90003_26,12.7039718467868,23.366631668039656,2.6523271748728217
90003_27,13.524145549743398,21.832814079195668,2.670681685809601
90003_28,13.988022555335034,20.821979269908518,2.562912801630794
90003_29,13.494770675750576,21.9585763915556,2.3079771083490805
90003_30,11.397030461955751,26.203720938826986,2.0293881380220915
90003_31,9.297140168310133,31.37440622593648,1.8435985063250055
90003_32,7.496612236466464,37.55105956269317,1.5806607031132864
90003_33,5.9863807276001175,42.7109504042332,1.4224166623556398
90003_34,4.751937356883929,47.32912991794496,1.4757955727814855
90003_35,3.990992953169068,51.33238260412516,1.4187333829048157
90003_36,3.368264838477298,54.99059329501631,1.3744293668455096
90004_00,12.8,28.0,2.3
90004_01,13.8,26.0,2.5
90004_02,14.9,26.0,2.0
90004_03,15.6,24.0,1.5
90004_04,15.813314004936203,23.548858980227063,1.8615361791698437
90004_05,15.151032500194594,25.59758608718697,1.787288514711247
90004_06,12.426955840771601,33.47641097712176,1.276614725681199
90004_07,9.707055560250765,43.006827280832454,1.0953633138396301
90004_08,8.023674555870834,51.39427437376614,1.0311895964836928
90004_09,6.65524237457674,57.130562374370534,1.005433521910131
90004_10,5.330434383134726,61.93239926471866,1.001660500806457
90004_11,4.485761831907642,65.6458604469555,1.0011820881108608
90004_12,3.521728469258424,69.5066515400365,1.0094905745700986
