Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,28.4,44.0,1.4,29.637,45.84,2.326
20180829_01,30.3,40.0,2.9,27.809,39.75,3.115
20180829_02,31.3,37.0,1.5,28.27,38.612,2.141
20180829_03,30.5,32.0,3.2,28.542,38.315,2.244
20180829_04,31.1,35.0,3.1,28.635,37.971,1.853
20180829_05,30.9,35.0,2.8,28.612,38.239,1.547
20180829_06,29.5,41.0,5.2,28.594,39.147,1.022
20180829_07,28.2,44.0,2.6,25.495,60.416,1.979
20180829_08,25.7,53.0,1.3,21.941,62.413,1.424
20180829_09,22.9,68.0,,21.582,61.508,1.298
20180829_10,21.5,73.0,0.8,22.361,59.53,1.003
20180829_11,21.3,75.0,1.5,21.74,60.849,1.475
20180829_12,19.9,80.0,0.9,22.065,58.508,2.31
20180829_13,20.2,80.0,0.8,20.583,63.253,2.146
20180829_14,19.3,85.0,0.4,20.572,62.964,2.219
20180829_15,19.3,85.0,1.3,21.395,61.272,1.826
20180829_16,19.3,86.0,,19.517,66.52,0.642
20180829_17,19.2,88.0,0.8,19.866,66.287,0.581
20180829_18,19.1,90.0,0.6,20.1,66.106,0.674
20180829_19,19.3,88.0,3.0,19.856,66.776,0.494
20180829_20,19.0,92.0,1.4,20.351,69.579,0.826
20180829_21,19.0,93.0,2.7,21.841,65.402,1.347
20180829_22,19.5,92.0,0.9,22.754,63.412,1.016
20180829_23,19.6,92.0,4.0,24.321,56.516,1.211
20180829_24,20.2,92.0,4.0,24.27,57.439,1.125
20180829_25,22.4,81.0,1.7,24.262,59.507,0.85
20180829_26,22.4,73.0,1.4,24.539,57.923,0.753
20180829_27,22.4,75.0,1.7,25.858,54.765,1.832
20180829_28,23.3,71.0,2.0,25.924,55.345,1.894
20180829_29,23.1,71.0,1.9,26.065,55.075,1.582
20180829_30,22.9,71.0,1.0,25.734,57.5,1.604
20180829_31,23.1,71.0,1.3,24.581,67.225,1.162
20180829_32,20.9,85.0,0.5,20.684,77.105,1.782
20180829_33,19.5,88.0,1.3,20.127,76.221,1.845
