Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,30.3,36.0,4.4,34.771,39.524,1.663
20180829_01,31.0,36.0,2.0,30.876,34.968,2.297
20180829_02,31.9,36.0,1.5,31.158,35.42,2.188
20180829_03,32.5,34.0,0.9,31.602,34.333,1.937
20180829_04,32.7,34.0,2.4,31.92,34.142,2.213
20180829_05,32.2,34.0,2.4,31.837,35.017,2.797
20180829_06,31.5,36.0,2.9,31.518,35.88,2.514
20180829_07,30.7,36.0,2.7,30.533,38.078,1.624
20180829_08,29.0,42.0,1.5,27.925,42.981,0.525
20180829_09,26.9,53.0,0.6,27.179,46.585,1.636
20180829_10,25.5,60.0,2.0,26.367,47.981,1.103
20180829_11,24.1,67.0,1.8,26.524,48.199,0.89
20180829_12,24.4,62.0,1.3,26.44,48.598,1.077
20180829_13,24.5,62.0,1.2,25.765,50.747,1.185
20180829_14,24.1,65.0,1.3,25.055,52.969,0.815
20180829_15,23.7,67.0,1.2,25.249,53.517,0.519
20180829_16,23.3,70.0,1.0,24.219,55.342,0.44
20180829_17,23.5,68.0,,24.072,53.329,1.153
20180829_18,22.8,75.0,1.1,23.29,54.815,0.678
20180829_19,22.6,76.0,1.1,23.191,56.925,0.449
20180829_20,22.2,83.0,1.4,23.609,63.652,0.482
20180829_21,22.0,88.0,0.7,24.772,57.67,0.489
20180829_22,21.8,92.0,1.3,25.997,50.052,1.862
20180829_23,22.1,91.0,1.3,26.383,50.039,2.612
20180829_24,22.9,83.0,1.0,26.634,50.586,1.928
20180829_25,23.9,78.0,0.8,27.157,51.671,1.471
20180829_26,24.6,71.0,1.4,28.206,48.661,1.815
20180829_27,25.1,66.0,1.0,28.744,47.36,2.005
20180829_28,26.0,57.0,2.1,29.237,46.548,2.003
20180829_29,25.8,54.0,1.0,29.621,45.815,1.799
20180829_30,25.7,54.0,1.0,29.857,45.045,1.677
20180829_31,25.8,50.0,1.0,29.498,45.729,1.897
20180829_32,23.8,65.0,1.1,28.261,49.49,1.898
20180829_33,22.1,75.0,2.1,28.311,51.068,1.987
20180829_34,21.2,81.0,1.2,26.613,56.12,0.972
20180829_35,20.4,83.0,1.8,25.421,59.325,1.15
20180829_36,19.9,85.0,1.2,25.594,58.073,1.391
20180830_00,22.9,83.0,1.0,28.159,66.183,1.274
20180830_01,23.9,78.0,0.8,24.769,72.424,1.967
20180830_02,24.6,71.0,1.4,25.443,64.954,2.011
20180830_03,25.1,66.0,1.0,25.464,64.869,1.428
20180830_04,26.0,57.0,2.1,26.039,59.821,1.649
20180830_05,25.8,54.0,1.0,26.045,58.266,1.798
20180830_06,25.7,54.0,1.0,25.408,61.593,1.16
20180830_07,25.8,50.0,1.0,25.653,60.081,1.337
20180830_08,23.8,65.0,1.1,23.687,65.813,0.558
20180830_09,22.1,75.0,2.1,22.892,69.249,0.748
20180830_10,21.2,81.0,1.2,22.614,69.614,1.448
20180830_11,20.4,83.0,1.8,22.379,69.1,0.973
20180830_12,19.9,85.0,1.2,21.686,71.705,0.5
20180830_13,19.9,82.0,1.2,21.515,72.705,0.412
20180830_14,19.4,85.0,1.0,21.648,72.064,0.507
20180830_15,18.7,88.0,1.3,21.251,72.274,1.247
20180830_16,18.7,87.0,1.3,21.122,71.386,0.988
20180830_17,18.6,88.0,1.1,20.532,73.003,0.661
20180830_18,18.2,90.0,1.1,20.597,71.084,0.879
20180830_19,18.1,90.0,1.4,20.271,72.164,0.684
20180830_20,20.0,84.0,1.3,22.641,69.114,0.709
20180830_21,21.6,79.0,1.1,24.033,61.641,0.659
20180830_22,24.4,67.0,0.7,25.554,56.344,0.157
20180830_23,26.0,61.0,0.4,26.663,54.717,1.239
20180830_24,28.1,54.0,1.2,27.644,54.483,1.981
20180830_25,29.3,46.0,1.5,28.637,48.936,2.828
20180830_26,29.8,46.0,1.9,28.926,49.318,2.605
20180830_27,30.2,44.0,2.9,29.283,48.565,2.528
20180830_28,30.9,42.0,2.1,29.735,45.417,2.536
20180830_29,30.7,43.0,2.4,29.975,43.211,2.696
20180830_30,30.3,44.0,1.9,29.913,42.344,2.658
20180830_31,29.5,44.0,1.8,29.348,44.301,2.784
20180830_32,28.2,52.0,1.4,28.771,45.797,2.711
20180830_33,27.0,55.0,0.6,27.815,48.475,2.394
