Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,29.1,36.0,5.3,34.263,39.848,2.41
20180829_01,30.1,37.0,3.4,29.688,35.731,2.561
20180829_02,31.0,35.0,3.7,30.323,33.945,2.37
20180829_03,31.4,33.0,1.6,30.726,33.433,2.144
20180829_04,32.0,33.0,2.1,31.386,32.425,2.035
20180829_05,31.7,35.0,3.4,31.753,31.754,1.708
20180829_06,31.3,34.0,2.9,31.95,31.109,1.891
20180829_07,30.3,41.0,1.8,31.192,34.625,1.829
20180829_08,28.7,46.0,1.9,29.496,41.161,1.476
20180829_09,27.9,49.0,0.7,28.664,43.746,1.175
20180829_10,27.0,54.0,1.2,27.711,46.97,1.077
20180829_11,25.6,60.0,1.3,26.956,49.208,0.929
20180829_12,25.3,61.0,1.5,26.068,52.97,1.552
20180829_13,24.7,65.0,1.2,25.494,56.812,1.343
20180829_14,24.5,67.0,1.4,25.051,58.393,1.13
20180829_15,24.4,67.0,1.5,24.569,60.146,0.333
20180829_16,23.5,74.0,1.3,24.579,60.251,0.698
20180829_17,23.4,76.0,0.7,23.862,64.068,0.764
20180829_18,23.6,75.0,1.0,22.937,69.229,0.952
20180829_19,23.4,77.0,1.1,22.739,72.104,0.464
20180829_20,23.5,79.0,1.5,23.464,70.43,0.382
20180829_21,23.3,83.0,1.9,23.889,70.622,1.377
20180829_22,22.5,85.0,1.5,25.09,63.805,1.474
20180829_23,22.4,89.0,1.5,26.052,61.601,1.156
20180829_24,22.3,89.0,1.3,27.149,56.412,0.845
20180829_25,22.6,80.0,2.0,28.083,52.295,0.745
20180829_26,23.8,74.0,3.0,28.743,48.784,1.099
20180829_27,24.5,67.0,2.9,28.791,47.419,1.556
20180829_28,25.0,64.0,1.7,28.848,45.55,0.806
20180829_29,26.0,53.0,1.7,29.633,44.022,0.805
20180829_30,27.0,54.0,1.7,29.965,43.136,1.418
20180829_31,26.0,53.0,1.7,29.698,44.236,1.515
20180829_32,24.2,63.0,1.0,28.663,49.633,1.801
20180829_33,23.2,70.0,1.2,28.052,49.765,2.518
20180829_34,22.7,73.0,0.9,27.224,50.904,2.375
20180829_35,22.0,79.0,1.1,26.288,55.331,2.309
20180829_36,21.3,81.0,0.9,25.747,58.451,2.072
20180830_00,22.3,89.0,1.3,26.583,76.167,1.312
20180830_01,22.6,80.0,2.0,23.714,81.46,1.532
20180830_02,23.8,74.0,3.0,24.203,75.969,1.571
20180830_03,24.5,67.0,2.9,24.695,72.247,1.136
20180830_04,25.0,64.0,1.7,25.223,67.229,0.824
20180830_05,26.0,53.0,1.7,25.452,64.77,1.209
20180830_06,27.0,54.0,1.7,25.212,65.303,0.476
20180830_07,26.0,53.0,1.7,25.197,64.328,0.578
20180830_08,24.2,63.0,1.0,24.334,64.103,1.055
20180830_09,23.2,70.0,1.2,23.551,66.207,0.497
20180830_10,22.7,73.0,0.9,22.705,71.806,0.571
20180830_11,22.0,79.0,1.1,22.37,74.484,0.601
20180830_12,21.3,81.0,0.9,21.859,75.513,0.616
20180830_13,20.4,87.0,0.3,22.046,73.146,0.309
20180830_14,20.4,87.0,0.9,22.163,71.935,0.136
20180830_15,19.8,90.0,0.5,22.24,72.336,0.118
20180830_16,20.2,90.0,0.9,21.776,73.858,0.076
20180830_17,19.6,92.0,0.8,21.971,72.522,0.226
20180830_18,19.4,92.0,0.5,21.915,73.536,1.143
20180830_19,20.0,90.0,1.5,21.598,79.124,1.04
20180830_20,21.9,79.0,1.9,22.755,73.217,1.083
20180830_21,23.5,72.0,1.3,24.035,67.105,1.811
20180830_22,24.6,65.0,2.2,25.585,61.446,2.246
20180830_23,26.7,57.0,1.8,26.936,56.288,1.989
20180830_24,27.5,56.0,1.7,27.893,53.027,1.601
20180830_25,28.5,49.0,1.0,28.463,52.063,1.535
20180830_26,30.0,45.0,1.1,29.192,47.797,1.665
20180830_27,30.6,41.0,2.0,29.556,45.059,1.954
20180830_28,30.7,38.0,2.2,29.862,45.91,1.994
20180830_29,30.8,41.0,2.4,30.081,45.773,1.936
20180830_30,30.2,44.0,2.9,30.016,45.941,2.004
20180830_31,29.2,47.0,2.5,29.542,47.122,1.931
20180830_32,27.6,57.0,1.8,28.659,50.417,2.487
20180830_33,26.5,63.0,1.9,27.511,52.391,2.317
20180830_34,25.9,66.0,1.4,26.624,55.72,2.39
20180830_35,24.6,72.0,0.5,25.558,61.621,1.85
20180830_36,24.5,72.0,1.1,24.883,66.206,1.249
20180831_00,27.5,56.0,1.7,31.444,52.814,0.796
20180831_01,28.5,49.0,1.0,27.277,56.843,0.602
20180831_02,30.0,45.0,1.1,28.42,52.146,0.9
20180831_03,30.6,41.0,2.0,29.239,46.253,1.001
20180831_04,30.7,38.0,2.2,29.834,44.178,1.223
20180831_05,30.8,41.0,2.4,29.965,45.282,1.456
20180831_06,30.2,44.0,2.9,29.917,45.61,1.758
20180831_07,29.2,47.0,2.5,29.439,48.002,1.561
20180831_08,27.6,57.0,1.8,28.575,50.925,1.123
20180831_09,26.5,63.0,1.9,27.745,53.28,0.644
20180831_10,25.9,66.0,1.4,27.429,53.764,0.674
20180831_11,24.6,72.0,0.5,26.613,53.877,1.881
20180831_12,24.5,72.0,1.1,25.6,56.693,2.155
20180831_13,23.8,75.0,0.6,24.458,61.538,1.383
20180831_14,24.3,74.0,1.3,23.628,65.849,1.42
20180831_15,23.5,77.0,1.1,22.468,89.415,1.661
20180831_16,22.9,75.0,1.8,22.625,91.33,1.572
20180831_17,22.1,82.0,1.3,22.432,91.729,1.231
20180831_18,21.6,86.0,1.4,22.35,90.844,1.134
20180831_19,21.5,90.0,1.1,22.538,85.128,0.935
20180831_20,21.8,92.0,1.4,22.955,84.508,1.281
20180831_21,22.6,88.0,1.7,23.024,82.616,1.127
20180831_22,24.4,78.0,1.1,23.676,77.206,0.816
20180831_23,25.3,76.0,2.5,24.643,71.64,0.438
20180831_24,26.4,67.0,1.6,26.341,60.078,0.746
20180831_25,27.4,59.0,1.4,27.549,49.887,2.433
20180831_26,28.2,53.0,2.8,27.471,54.546,2.159
20180831_27,28.0,51.0,3.4,28.287,49.067,2.037
20180831_28,27.6,56.0,2.9,28.599,45.525,2.287
20180831_29,27.7,53.0,2.1,26.148,60.805,2.512
20180831_30,26.9,56.0,2.2,25.733,60.687,1.725
20180831_31,26.4,56.0,1.9,25.038,63.865,2.409
20180831_32,25.4,66.0,2.1,24.174,65.541,1.193
20180831_33,25.0,68.0,1.5,24.152,60.718,1.3
20180831_34,24.7,68.0,1.2,24.028,59.351,1.187
20180831_35,25.0,65.0,1.7,23.865,62.488,0.844
20180831_36,24.5,69.0,2.3,23.721,65.173,1.079
20180901_00,26.4,67.0,1.6,32.88,52.801,1.578
20180901_01,27.4,59.0,1.4,27.617,55.6,1.897
20180901_02,28.2,53.0,2.8,28.257,52.137,2.24
20180901_03,28.0,51.0,3.4,28.247,51.732,1.796
20180901_04,27.6,56.0,2.9,28.212,52.222,1.552
20180901_05,27.7,53.0,2.1,27.722,55.063,2.238
20180901_06,26.9,56.0,2.2,27.143,58.688,2.215
20180901_07,26.4,56.0,1.9,26.969,57.173,1.907
20180901_08,25.4,66.0,2.1,26.367,60.553,1.856
20180901_09,25.0,68.0,1.5,25.572,60.625,2.12
20180901_10,24.7,68.0,1.2,25.0,60.844,1.957
20180901_11,25.0,65.0,1.7,24.569,61.757,2.678
20180901_12,24.5,69.0,2.3,24.273,65.642,2.579
20180901_13,22.5,85.0,1.1,24.232,69.75,2.079
20180901_14,21.9,88.0,1.8,23.43,78.643,1.386
20180901_15,21.3,91.0,1.6,22.561,86.008,1.868
20180901_16,21.0,93.0,1.5,22.229,88.555,2.432
20180901_17,20.8,94.0,2.2,21.845,89.767,2.578
20180901_18,20.7,94.0,2.8,21.319,91.285,2.714
20180901_19,20.7,94.0,3.2,21.022,92.539,2.686
20180901_20,20.7,93.0,2.1,21.019,93.965,2.341
20180901_21,20.8,92.0,1.9,20.976,95.521,2.069
20180901_22,21.1,92.0,1.4,21.013,96.27,1.451
20180901_23,21.5,91.0,2.2,21.126,94.522,2.065
20180901_24,22.3,88.0,1.9,21.302,93.825,1.776
20180901_25,24.1,78.0,1.2,22.417,89.397,1.286
20180901_26,25.9,72.0,1.7,23.454,84.702,0.986
20180901_27,26.5,69.0,1.8,24.029,81.831,0.408
20180901_28,27.3,67.0,2.2,25.551,72.31,0.221
20180901_29,26.6,68.0,2.8,26.245,69.547,0.432
20180901_30,26.6,69.0,2.6,26.586,69.206,0.892
20180901_31,26.1,72.0,2.1,26.413,70.6,1.141
20180901_32,25.5,76.0,2.5,25.417,77.268,1.389
20180901_33,25.0,79.0,2.1,24.778,80.125,1.057
20180901_34,24.8,80.0,1.7,24.329,82.435,0.762
20180901_35,24.8,80.0,1.6,23.725,86.549,1.265
20180901_36,24.5,82.0,0.8,23.014,92.107,1.344
20180902_00,22.3,88.0,1.9,26.251,76.97,1.098
20180902_01,24.1,78.0,1.2,23.448,79.46,1.191
20180902_02,25.9,72.0,1.7,25.349,67.609,0.18
20180902_03,26.5,69.0,1.8,26.824,59.75,0.146
20180902_04,27.3,67.0,2.2,27.713,56.141,0.677
20180902_05,26.6,68.0,2.8,28.513,55.697,1.748
20180902_06,26.6,69.0,2.6,28.488,57.106,2.045
20180902_07,26.1,72.0,2.1,27.961,60.042,2.437
20180902_08,25.5,76.0,2.5,26.716,67.876,2.57
20180902_09,25.0,79.0,2.1,26.201,71.31,2.063
20180902_10,24.8,80.0,1.7,25.214,76.556,1.907
20180902_11,24.8,80.0,1.6,24.392,82.296,1.55
20180902_12,24.5,82.0,0.8,23.568,87.936,1.912
20180902_13,24.2,85.0,1.1,23.115,90.35,2.027
20180902_14,23.7,87.0,1.1,22.797,93.142,1.658
20180902_15,23.2,89.0,1.4,22.607,95.575,0.759
20180902_16,22.5,91.0,0.7,22.479,93.84,1.08
20180902_17,22.3,93.0,1.3,21.592,97.092,0.515
20180902_18,22.6,93.0,0.5,21.905,94.524,0.654
20180902_19,22.6,93.0,0.5,22.346,88.122,0.809
20180902_20,22.9,93.0,0.9,24.0,75.897,1.73
20180902_21,24.4,81.0,3.1,25.833,45.287,3.141
20180902_22,28.2,36.0,3.8,27.765,26.473,3.429
20180902_23,29.1,27.0,5.8,28.006,28.89,3.284
20180902_24,29.4,29.0,5.8,29.23,27.968,3.171
20180902_25,28.9,31.0,5.8,30.146,26.649,4.332
20180902_26,29.1,32.0,6.4,31.264,24.996,4.118
20180902_27,29.9,31.0,4.3,31.698,24.043,4.486
20180902_28,30.5,30.0,4.0,31.401,24.501,4.819
