Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,26.9,48.0,4.0,30.835,46.303,2.617
20180829_01,28.1,44.0,3.3,28.327,40.366,2.376
20180829_02,28.4,43.0,3.9,29.018,38.811,2.796
20180829_03,29.0,41.0,3.9,29.539,38.045,2.393
20180829_04,29.7,40.0,2.5,30.104,36.733,2.673
20180829_05,29.4,41.0,2.4,30.119,36.882,2.17
20180829_06,29.2,41.0,2.2,29.764,39.234,2.117
20180829_07,28.4,45.0,1.0,26.906,59.652,1.042
20180829_08,25.4,56.0,0.7,22.77,61.174,0.585
20180829_09,22.0,71.0,0.9,22.16,60.329,0.387
20180829_10,21.4,71.0,1.1,22.5,58.439,1.356
20180829_11,20.8,75.0,1.2,21.858,61.077,1.224
20180829_12,19.9,82.0,0.9,22.699,57.34,1.521
20180829_13,19.1,89.0,0.7,21.712,59.111,1.15
20180829_14,19.1,89.0,0.9,21.92,55.672,1.862
20180829_15,19.1,90.0,,21.806,56.051,1.574
20180829_16,18.8,92.0,,21.301,59.269,1.727
20180829_17,18.9,92.0,0.9,20.526,62.38,3.022
20180829_18,18.6,93.0,1.2,21.82,53.563,4.3
20180829_19,18.9,93.0,1.0,21.338,54.324,4.216
20180829_20,18.7,96.0,1.0,21.785,56.256,4.387
20180829_21,19.2,96.0,0.5,23.185,53.153,3.814
20180829_22,19.9,94.0,1.8,24.819,50.728,2.215
20180829_23,20.4,92.0,1.6,26.039,47.948,1.426
20180829_24,21.1,91.0,0.7,26.832,46.065,1.35
20180829_25,23.2,82.0,1.3,27.559,44.029,1.011
20180829_26,23.1,84.0,4.1,28.16,42.127,0.704
20180829_27,24.5,78.0,3.4,28.336,41.989,0.958
20180829_28,24.6,80.0,4.2,28.645,41.393,1.808
20180829_29,25.0,76.0,3.5,28.04,44.707,2.487
20180829_30,24.3,76.0,3.0,27.732,46.433,2.75
20180829_31,22.9,81.0,2.0,25.418,61.393,2.147
20180829_32,21.6,87.0,1.7,21.71,73.298,2.097
20180829_33,20.4,93.0,,21.121,75.309,1.362
20180829_34,19.4,97.0,0.5,21.185,73.771,0.524
20180829_35,18.7,97.0,0.8,20.192,77.217,0.523
20180829_36,18.1,97.0,,19.749,78.135,2.021
20180830_00,21.1,91.0,0.7,27.083,67.532,0.679
20180830_01,23.2,82.0,1.3,23.339,75.125,0.733
20180830_02,23.1,84.0,4.1,23.432,74.791,1.463
20180830_03,24.5,78.0,3.4,23.057,77.539,2.093
20180830_04,24.6,80.0,4.2,24.506,71.081,1.766
20180830_05,25.0,76.0,3.5,25.381,65.764,3.377
20180830_06,24.3,76.0,3.0,25.027,68.406,3.143
20180830_07,22.9,81.0,2.0,23.922,75.748,2.49
20180830_08,21.6,87.0,1.7,21.189,85.789,1.257
20180830_09,20.4,93.0,,21.614,80.625,1.496
20180830_10,19.4,97.0,0.5,19.983,85.608,0.734
20180830_11,18.7,97.0,0.8,19.007,87.707,0.545
20180830_12,18.1,97.0,,18.76,88.417,0.498
20180830_13,17.6,99.0,1.2,18.927,86.969,0.609
20180830_14,17.5,99.0,2.1,18.153,89.057,0.908
20180830_15,17.2,99.0,2.8,17.889,87.06,1.566
