Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,28.6,48.0,2.1,33.014,42.928,2.65
20180829_01,29.7,44.0,2.3,29.445,37.95,2.458
20180829_02,30.4,42.0,2.4,30.426,35.399,2.77
20180829_03,31.0,39.0,2.8,31.028,33.713,2.484
20180829_04,31.2,40.0,2.9,31.583,32.637,2.08
20180829_05,31.6,39.0,2.4,31.888,32.369,2.294
20180829_06,31.2,38.0,2.1,31.809,33.708,2.219
20180829_07,29.1,50.0,0.9,30.422,40.245,2.27
20180829_08,27.3,55.0,1.4,26.647,46.901,1.896
20180829_09,24.9,69.0,,26.5,50.883,2.753
20180829_10,22.9,82.0,,24.339,58.663,1.445
20180829_11,21.6,92.0,,23.533,60.032,1.464
20180829_12,21.2,94.0,,23.96,58.895,1.157
20180829_13,21.8,88.0,0.4,23.734,59.514,1.193
20180829_14,21.7,90.0,,23.258,61.216,1.497
20180829_15,21.3,93.0,,22.073,66.692,1.333
20180829_16,21.2,95.0,1.2,21.864,67.324,1.028
20180829_17,21.4,95.0,,21.4,69.127,0.979
20180829_18,21.6,92.0,1.3,21.97,66.92,1.109
20180829_19,21.3,95.0,,21.892,65.948,1.813
20180829_20,21.5,97.0,1.1,23.77,55.715,3.21
20180829_21,21.3,99.0,1.0,25.024,52.26,3.354
20180829_22,21.5,99.0,1.0,26.106,50.244,2.023
20180829_23,22.1,98.0,0.5,27.087,47.69,0.737
20180829_24,22.6,95.0,0.3,27.845,46.081,1.595
20180829_25,23.0,92.0,0.5,28.139,47.774,2.971
20180829_26,23.6,91.0,1.6,28.429,46.669,2.205
20180829_27,24.0,80.0,2.4,28.844,45.261,1.838
20180829_28,24.7,78.0,2.0,29.251,44.388,1.887
20180829_29,25.7,75.0,1.4,29.374,44.293,2.032
20180829_30,26.0,71.0,1.9,29.278,45.164,2.322
20180829_31,25.1,71.0,0.9,28.651,50.207,2.113
20180829_32,22.2,86.0,0.3,25.406,58.766,1.148
20180829_33,21.1,95.0,,26.281,56.465,1.227
20180829_34,20.0,99.0,0.7,24.81,62.185,1.828
20180829_35,19.4,100.0,,24.082,64.368,1.749
