Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,29.0,43.0,2.0,33.03,43.516,1.522
20180829_01,30.1,34.0,2.5,29.063,40.738,2.293
20180829_02,30.6,36.0,1.3,30.079,38.204,2.433
20180829_03,30.7,38.0,1.4,30.767,36.305,2.116
20180829_04,31.3,35.0,3.4,31.527,34.262,2.065
20180829_05,31.8,35.0,2.1,31.946,32.846,1.921
20180829_06,31.5,34.0,3.7,32.116,32.113,1.873
20180829_07,30.7,38.0,2.5,30.836,37.079,1.678
20180829_08,28.5,50.0,1.9,28.919,41.735,2.187
20180829_09,27.0,56.0,1.1,28.182,44.898,2.111
20180829_10,25.8,62.0,0.7,27.305,48.033,1.57
20180829_11,24.6,71.0,0.6,26.386,51.661,0.337
20180829_12,24.9,70.0,1.3,25.266,58.025,1.391
20180829_13,24.4,75.0,1.2,24.574,60.973,1.2
20180829_14,24.9,70.0,1.3,23.889,63.222,1.459
20180829_15,24.5,72.0,1.4,23.42,66.394,0.777
20180829_16,23.7,79.0,1.4,22.997,68.575,1.945
20180829_17,23.2,81.0,1.3,22.527,72.028,1.441
20180829_18,23.4,80.0,1.3,22.284,73.885,0.879
20180829_19,23.2,81.0,1.2,22.02,76.732,0.992
20180829_20,23.4,79.0,0.8,22.748,74.288,1.38
20180829_21,23.4,81.0,1.4,24.131,66.087,1.269
20180829_22,22.4,89.0,1.3,25.723,58.562,0.763
20180829_23,22.4,88.0,0.8,26.858,50.74,2.075
20180829_24,22.7,86.0,0.9,26.985,49.869,2.136
20180829_25,23.1,86.0,1.3,27.586,48.463,1.653
20180829_26,24.3,73.0,2.1,28.258,47.452,1.356
20180829_27,24.8,71.0,1.8,28.662,47.079,1.063
20180829_28,26.1,65.0,2.1,29.428,45.697,0.836
20180829_29,26.0,59.0,1.4,29.944,45.11,0.966
20180829_30,26.1,57.0,1.6,30.097,45.482,0.874
20180829_31,26.4,53.0,1.8,29.48,47.884,1.173
20180829_32,24.0,69.0,0.4,27.567,51.849,0.81
20180829_33,22.2,80.0,0.9,28.221,50.839,0.971
20180829_34,21.5,83.0,0.4,26.705,55.351,1.218
20180829_35,21.1,85.0,0.9,26.18,58.421,1.991
20180829_36,20.8,84.0,1.4,25.373,61.451,1.719
20180830_00,22.7,86.0,0.9,28.624,70.707,0.124
20180830_01,23.1,86.0,1.3,24.213,82.298,1.3
20180830_02,24.3,73.0,2.1,25.505,74.007,1.382
20180830_03,24.8,71.0,1.8,25.93,70.159,1.582
20180830_04,26.1,65.0,2.1,26.035,68.772,1.914
20180830_05,26.0,59.0,1.4,26.903,61.859,2.115
20180830_06,26.1,57.0,1.6,26.618,61.007,2.251
20180830_07,26.4,53.0,1.8,26.237,59.584,1.776
20180830_08,24.0,69.0,0.4,24.616,64.306,1.158
20180830_09,22.2,80.0,0.9,24.288,65.306,1.229
20180830_10,21.5,83.0,0.4,23.858,68.486,1.125
20180830_11,21.1,85.0,0.9,22.757,73.596,1.111
20180830_12,20.8,84.0,1.4,21.836,78.417,0.44
20180830_13,20.5,85.0,0.9,21.532,80.997,0.616
20180830_14,20.3,89.0,0.8,21.404,83.227,0.706
20180830_15,19.8,88.0,1.9,20.792,85.607,0.752
20180830_16,19.6,90.0,0.6,20.233,87.502,0.703
20180830_17,19.3,88.0,1.2,19.706,87.714,0.936
20180830_18,18.6,91.0,0.4,19.775,86.204,1.028
20180830_19,18.7,90.0,1.5,20.563,83.401,1.778
20180830_20,20.7,82.0,1.4,22.542,73.196,2.03
20180830_21,21.9,78.0,1.1,24.084,67.553,2.175
20180830_22,23.7,72.0,1.6,25.877,62.749,3.343
20180830_23,26.3,64.0,2.5,27.146,56.421,2.168
20180830_24,27.7,54.0,1.2,28.029,52.468,1.91
20180830_25,29.1,49.0,2.2,28.645,50.929,1.622
20180830_26,29.5,44.0,2.4,29.442,46.844,1.713
20180830_27,29.9,47.0,1.6,30.14,42.07,3.243
20180830_28,30.6,47.0,1.3,30.089,43.059,3.087
20180830_29,30.6,43.0,1.7,30.204,43.64,2.899
20180830_30,30.2,42.0,2.1,30.137,42.955,2.777
20180830_31,29.2,45.0,2.1,29.72,43.461,2.808
20180830_32,27.8,50.0,2.0,28.712,44.721,2.299
20180830_33,26.8,56.0,1.8,28.139,50.427,3.028
20180830_34,25.1,65.0,0.8,27.362,56.15,3.26
20180830_35,23.9,72.0,,26.587,56.612,2.275
20180830_36,24.1,71.0,0.6,24.961,63.703,1.29
20180831_00,27.7,54.0,1.2,32.652,54.904,0.947
20180831_01,29.1,49.0,2.2,27.449,60.735,0.9
20180831_02,29.5,44.0,2.4,28.804,51.776,1.45
20180831_03,29.9,47.0,1.6,29.534,46.878,1.787
20180831_04,30.6,47.0,1.3,29.947,44.909,2.135
20180831_05,30.6,43.0,1.7,30.022,44.934,2.233
