Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,28.7,44.0,3.8,31.416,48.284,2.409
20180829_01,29.6,43.0,3.8,29.733,41.9,0.853
20180829_02,30.6,40.0,1.6,30.316,40.489,1.473
20180829_03,31.2,38.0,2.3,30.667,40.422,1.01
20180829_04,31.7,39.0,1.1,31.126,39.267,0.976
20180829_05,31.3,41.0,3.0,31.415,38.174,1.493
20180829_06,31.0,42.0,3.3,31.161,41.497,1.736
20180829_07,30.0,46.0,1.9,28.72,57.352,1.41
20180829_08,28.2,53.0,1.3,25.519,58.946,1.712
20180829_09,24.3,76.0,1.2,24.597,60.366,1.295
20180829_10,23.1,79.0,1.4,24.266,59.095,1.578
20180829_11,22.6,80.0,1.5,24.047,58.917,1.641
20180829_12,22.6,79.0,1.2,23.899,59.956,1.681
20180829_13,22.4,80.0,1.0,23.364,64.478,1.985
20180829_14,21.9,84.0,1.2,22.645,68.851,1.425
20180829_15,22.5,80.0,1.9,22.2,70.969,1.434
20180829_16,22.0,85.0,0.9,22.416,68.852,1.334
20180829_17,21.9,86.0,1.0,22.236,67.99,1.238
20180829_18,21.7,87.0,1.5,22.78,64.745,0.783
20180829_19,21.6,90.0,1.0,21.929,68.813,0.433
20180829_20,22.0,88.0,1.5,23.927,69.067,0.566
20180829_21,22.0,92.0,1.2,25.08,58.588,0.383
20180829_22,22.0,94.0,0.9,26.226,52.826,1.478
20180829_23,22.5,94.0,1.0,27.189,48.789,1.51
20180829_24,23.0,93.0,1.0,27.974,46.352,1.766
20180829_25,23.1,92.0,1.2,28.442,45.076,1.329
20180829_26,23.5,86.0,2.2,28.821,45.074,1.211
20180829_27,24.5,76.0,2.5,28.955,46.345,2.335
20180829_28,25.6,66.0,3.2,28.946,46.749,1.958
20180829_29,25.7,63.0,2.2,29.04,47.347,1.749
20180829_30,26.0,64.0,1.0,28.912,49.649,1.685
20180829_31,26.0,64.0,1.4,27.58,64.881,0.818
20180829_32,22.9,85.0,1.2,24.871,64.193,0.362
20180829_33,21.3,89.0,1.4,24.168,66.701,0.779
20180829_34,20.4,93.0,1.3,23.725,67.536,1.515
20180829_35,19.7,94.0,,23.247,69.136,1.012
20180829_36,19.2,96.0,0.7,22.674,71.556,1.345
20180830_00,23.0,93.0,1.0,27.474,75.854,1.325
20180830_01,23.1,92.0,1.2,24.811,80.961,1.658
20180830_02,23.5,86.0,2.2,25.897,74.028,1.919
20180830_03,24.5,76.0,2.5,26.316,71.448,2.708
20180830_04,25.6,66.0,3.2,25.711,73.561,2.371
20180830_05,25.7,63.0,2.2,26.551,67.471,2.433
20180830_06,26.0,64.0,1.0,26.736,64.704,2.369
20180830_07,26.0,64.0,1.4,25.946,70.534,1.676
20180830_08,22.9,85.0,1.2,23.068,81.889,1.017
20180830_09,21.3,89.0,1.4,22.027,88.113,0.766
20180830_10,20.4,93.0,1.3,21.466,89.354,0.853
20180830_11,19.7,94.0,,21.389,86.795,1.05
20180830_12,19.2,96.0,0.7,21.226,86.018,0.474
20180830_13,18.8,96.0,,21.317,84.874,0.519
20180830_14,18.5,97.0,1.0,21.12,82.885,0.961
20180830_15,17.9,97.0,0.4,21.02,80.699,0.86
20180830_16,17.6,97.0,,20.603,80.523,1.167
20180830_17,17.2,98.0,,20.8,77.714,1.904
20180830_18,17.1,98.0,,20.277,79.601,1.11
20180830_19,17.1,98.0,0.8,20.191,78.907,0.968
20180830_20,18.6,98.0,,23.497,68.784,0.864
20180830_21,21.0,86.0,1.2,25.231,61.583,1.453
20180830_22,23.8,68.0,1.4,26.918,54.605,1.768
20180830_23,26.0,62.0,1.7,28.149,48.855,1.66
20180830_24,27.9,56.0,1.5,29.678,39.221,3.76
20180830_25,29.1,52.0,2.0,30.099,38.422,3.674
20180830_26,30.2,41.0,0.9,30.344,38.018,3.586
20180830_27,31.4,31.0,2.0,30.099,40.293,3.486
20180830_28,31.3,37.0,3.3,29.288,45.044,2.78
