Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,29.4,38.0,2.3,31.014,42.522,1.372
20180829_01,29.8,36.0,0.6,27.602,37.393,2.963
20180829_02,30.9,37.0,1.5,27.868,37.414,2.261
20180829_03,31.0,42.0,2.4,27.937,37.65,2.278
20180829_04,31.0,40.0,2.5,28.102,37.851,2.135
20180829_05,30.5,42.0,1.1,28.067,38.647,1.615
20180829_06,28.6,44.0,2.6,26.695,44.541,2.858
20180829_07,24.9,65.0,0.8,25.168,54.032,1.581
20180829_08,22.7,75.0,1.5,21.073,62.581,0.612
20180829_09,21.3,79.0,1.0,20.38,63.956,0.899
20180829_10,20.2,83.0,1.1,19.987,64.329,0.887
20180829_11,19.4,86.0,0.5,19.794,65.276,1.434
20180829_12,19.2,87.0,1.1,19.713,65.655,1.719
20180829_13,18.7,89.0,0.8,19.403,65.981,2.31
20180829_14,19.3,85.0,1.3,20.586,61.617,2.066
20180829_15,19.2,86.0,0.9,19.169,66.135,1.929
20180829_16,19.4,86.0,1.2,18.67,67.87,1.371
20180829_17,19.5,86.0,0.8,19.358,65.731,1.242
20180829_18,19.5,87.0,,19.618,65.193,0.84
20180829_19,19.2,93.0,0.7,19.638,65.471,0.588
20180829_20,19.0,95.0,0.7,20.846,70.899,0.939
20180829_21,19.1,93.0,1.4,21.689,65.698,0.733
20180829_22,19.6,92.0,0.6,22.074,61.799,1.258
20180829_23,19.8,91.0,,23.293,57.18,1.1
20180829_24,20.4,90.0,0.7,24.124,55.349,1.013
20180829_25,20.5,90.0,1.2,24.49,54.733,1.235
20180829_26,21.3,82.0,0.5,24.441,56.42,2.484
20180829_27,22.8,77.0,0.3,24.131,59.951,2.889
20180829_28,22.9,75.0,1.0,24.063,62.729,2.787
20180829_29,23.9,71.0,0.8,24.532,61.837,2.989
20180829_30,24.0,70.0,1.0,24.275,61.778,3.221
20180829_31,21.8,81.0,0.8,22.544,65.797,3.554
20180829_32,20.0,89.0,0.8,20.797,70.415,3.824
20180829_33,19.1,89.0,2.1,20.141,74.748,3.283
20180829_34,18.3,92.0,0.4,20.161,74.219,3.394
20180829_35,17.7,94.0,0.8,18.979,77.971,2.544
20180829_36,17.3,95.0,0.5,18.504,77.857,2.102
20180830_00,20.4,90.0,0.7,19.649,87.53,3.077
20180830_01,20.5,90.0,1.2,19.32,86.075,2.513
