Time,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M
20180829_00,27.6,41.0,2.1,29.352,47.759,0.932
20180829_01,28.6,37.0,4.4,27.78,43.248,1.63
20180829_02,29.3,36.0,3.2,28.516,41.949,2.091
20180829_03,30.1,32.0,2.4,29.167,40.526,2.185
20180829_04,30.2,32.0,3.4,29.747,38.994,2.187
20180829_05,30.6,33.0,2.5,29.857,39.172,1.994
20180829_06,30.1,35.0,2.1,29.323,43.947,1.769
20180829_07,28.8,39.0,0.9,26.696,63.99,0.89
20180829_08,26.5,50.0,1.8,22.998,62.46,0.884
20180829_09,23.4,63.0,0.7,22.183,61.012,1.491
20180829_10,21.3,73.0,0.9,21.321,61.992,1.126
20180829_11,20.3,78.0,1.0,21.402,61.249,0.956
20180829_12,19.6,83.0,1.0,20.949,61.883,0.693
20180829_13,19.3,84.0,0.5,20.52,63.446,0.411
20180829_14,18.8,85.0,1.2,20.863,60.203,1.027
20180829_15,18.7,86.0,1.0,20.788,57.85,1.413
20180829_16,18.4,89.0,0.8,20.551,58.244,2.031
20180829_17,18.2,89.0,1.0,18.811,63.352,2.065
20180829_18,18.1,89.0,0.5,19.533,61.007,2.256
20180829_19,18.1,90.0,0.8,17.918,67.087,0.879
20180829_20,18.2,93.0,0.3,20.763,63.202,1.532
20180829_21,18.5,94.0,1.4,22.366,56.103,2.28
20180829_22,18.8,93.0,1.7,23.492,52.506,2.32
20180829_23,19.5,93.0,0.8,24.662,49.427,1.471
20180829_24,20.3,88.0,0.6,25.339,49.164,0.522
20180829_25,22.1,83.0,2.3,26.076,48.628,0.922
20180829_26,24.3,74.0,2.0,26.746,47.689,0.602
20180829_27,26.5,60.0,2.9,27.082,47.153,0.528
20180829_28,27.6,52.0,4.9,27.428,45.608,0.518
20180829_29,28.4,49.0,4.7,26.558,54.276,1.476
20180829_30,28.0,50.0,3.7,27.149,49.73,0.329
20180829_31,24.9,60.0,2.9,25.032,70.817,0.502
20180829_32,22.9,74.0,2.8,21.536,76.824,2.008
20180829_33,21.7,79.0,2.1,20.564,77.407,0.759
20180829_34,20.1,83.0,1.6,19.947,77.813,0.763
20180829_35,18.7,87.0,0.8,19.814,74.546,1.257
20180829_36,17.7,91.0,1.5,19.47,65.009,1.541
