FORE_data,t2m_lgb,rh2m_lgb,w10m_lgb
90001_00,15.1,50.0,1.1
90001_01,16.7,45.0,0.6
90001_02,17.5,41.0,2.1
90001_03,17.9,40.0,1.4
90001_04,18.32187366933694,39.91346720181437,1.8247117532889248
90001_05,17.924611333829702,41.90271776345585,1.92045132069852
90001_06,15.629280153942183,51.98662089149924,1.3156180565354783
90001_07,12.753175693386808,63.98312150630899,1.1589765723401135
90001_08,11.111986995108236,67.83311762007033,1.1979230401469427
90001_09,9.851139773955886,70.4795001922421,1.201789375318923
90001_10,9.200107210460057,72.20391932530961,1.3269805558328127
90001_11,8.851910453120695,75.59847011452287,1.475255213622535
90001_12,8.933053690145782,77.80065365387027,1.5203233267050074
90001_13,9.271749971264542,78.77654636837025,1.6088768049738342
90001_14,9.045523445516539,80.06846918600584,1.5987334114685714
90001_15,9.142912786261999,80.38020857115384,1.5788671566167396
90001_16,9.07454244821133,80.97946362693193,1.542265190230883
90001_17,9.045141851895025,81.2225843381897,1.542265190230883
90001_18,9.080359685162366,81.60679471858784,1.5827893182713135
90001_19,9.267547173116666,82.96394323137622,1.603769961360716
90001_20,10.092354241244475,82.80068621783323,1.5494275629099412
90001_21,10.739960819248086,82.49989758703195,1.3814939139487958
90001_22,11.11922772882687,81.81090070234438,1.3289571395938868
90001_23,11.375968577085786,80.4867921519681,1.368084586972952
90001_24,11.494133162176755,79.39105832225553,1.276270639697382
90001_25,11.528360654518371,80.64733185112044,1.2023398805458507
90001_26,11.470920951091092,82.2586033584384,1.1446976057651677
90001_27,11.085922385275824,83.94782986037093,1.2063683962880054
90001_28,10.596258444432394,84.66371286165206,1.1890382479798038
90001_29,9.597010569657463,89.13574087702851,1.1647318116686052
90001_30,8.716359353798804,92.01167102289944,1.1482589094476772
90001_31,8.12636871400621,94.17870999153712,1.114359086713533
90001_32,7.7407528263236705,95.14072384708841,1.0446957344688166
90001_33,7.518107784704746,96.07400002027649,0.990041604078097
90001_34,7.3291871084,96.25060736864123,0.9826762034448284
90001_35,7.271905092212833,95.89320135066885,0.9394764862281971
90001_36,7.365132127571827,95.27764237543997,0.9562229340709423
90002_00,12.7,59.0,1.2
90002_01,14.0,56.0,2.0
90002_02,15.7,50.0,1.8
90002_03,16.3,47.0,2.4
90002_04,16.859227379134065,45.44082257038884,2.47360307014775
90002_05,16.861075574422692,46.114995865484175,2.044200843916402
90002_06,15.109016834095883,55.50475675992045,1.3945185083330287
90002_07,13.21071094431607,65.87655507296344,1.1420844207380665
90002_08,11.516019142075217,73.72077406768119,1.0882656857370803
90002_09,10.377363656105782,79.67990450787451,1.1124306144231106
90002_10,9.651657116533075,81.93058417575286,1.08884306240706
90002_11,9.161522764630199,83.89933991753416,1.1240176312113868
90002_12,8.831034190657142,84.84779617682743,1.1094007555692846
90002_13,8.422719121101867,86.61265883783753,1.1240176312113868
90002_14,8.213811848815844,88.21176269369062,1.0830247696607398
90002_15,8.197111728121705,87.98801764568269,1.1175358516453275
90002_16,8.166280391310831,87.85153672262027,1.1195624143948415
90002_17,8.227684829536608,88.13477215891366,1.0915814012353628
90002_18,8.260556678702041,88.19730020513661,1.0625258249639264
90002_19,8.32855061460218,88.00806488436477,1.0948658837617613
90002_20,9.004223341572072,85.98329209848227,1.1799253835448724
90002_21,9.750917780917272,83.84414301098667,1.1410812822013652
90002_22,10.17539579277478,81.61007728351805,1.3147372437348046
90002_23,10.215736584622299,80.38109804556547,1.3915649295412535
90002_24,10.233661819793618,78.90736656264903,1.5817471811007773
90002_25,10.05467911879491,79.9018291808368,1.7058397237236769
90002_26,10.12577606485026,81.55021149907645,1.7787365192415656
90002_27,9.920400609346453,82.58694514627068,1.6790913923402973
90002_28,9.805505542163038,83.7941156281566,1.6781360837535004
90002_29,9.38046974589555,85.15007613300486,1.6618192129502627
90002_30,8.987928044277718,86.5304929459444,1.6602263186455635
90002_31,8.629851901630207,88.0981004308203,1.6730632514130597
90002_32,7.991027326532009,87.51734955615007,1.6730632514130597
90002_33,7.499585064487677,88.34506995417131,1.6659181969471097
90002_34,7.124925611453979,89.135300655004,1.6320980746933802
90002_35,6.811387705572789,89.24598507950924,1.544632654507894
90002_36,6.647076968010789,89.32125731243407,1.4060349392625489
90003_00,12.7,52.0,1.1
90003_01,15.3,45.0,3.8
90003_02,16.5,39.0,4.9
90003_03,16.7,37.0,6.4
90003_04,16.620956096620535,39.876318761836316,5.7596121764571375
90003_05,15.423913065892839,44.78087926148432,5.3480938614671905
90003_06,13.862229056216602,50.69637147375564,4.346998634179406
90003_07,12.664102511380111,56.65895080710273,3.204768775028909
90003_08,11.510331596587504,61.99321338691365,2.4516712559148313
90003_09,10.55658082737415,66.62860767626364,1.7217436129859383
90003_10,9.575913076758797,70.96076686414344,1.4126494936666405
90003_11,8.906511612908682,73.81575831060051,1.2838090241849653
90003_12,8.452479654391265,76.88955800274525,1.1865650392153266
90003_13,8.010055080298889,79.97797087440563,1.0622239413483852
90003_14,7.680962688731316,82.34846767883027,1.0811115885501463
90003_15,7.263441802058244,83.36961993729656,1.3019248153653855
90003_16,7.0298784592653805,83.84348957540637,1.428386856599511
90003_17,6.988341362941746,84.94460975717746,1.6102394125475055
90003_18,7.048177448778369,86.18155516936655,1.6336372668772203
90003_19,7.132720146881059,87.89825567222668,1.9651144845172857
90003_20,7.5469380205553565,88.49756770826833,2.184308822553291
90003_21,7.6827742457621815,87.75726416120561,2.5284589470375116
90003_22,7.834245697377238,86.89477358585232,2.6578429183728747
90003_23,7.755592849346678,85.05737315754156,2.7185219737320017
