FORE_data,t2m_lgb_q,rh2m_lgb_q,w10m_lgb_q
90001_00,14.2,28.0,3.0
90001_01,15.5,25.0,2.2
90001_02,16.4,22.0,2.2
90001_03,16.7,19.0,2.8
90001_04,16.747524611416836,17.988658598856706,2.649010375213009
90001_05,15.595304001128007,18.828189943123423,2.2973383529041103
90001_06,13.064870253327365,27.495931279960384,1.7918065067537279
90001_07,9.461750558634607,41.61347953951326,1.491336222436761
90001_08,7.343215507757701,54.60740532164051,1.2919772318000875
90001_09,6.105355824011095,60.75458805287501,1.1765787963943792
90001_10,5.1896557859540815,64.23311000172131,1.111069529009716
90001_11,4.656789115221473,66.95891805281396,1.0416719582823863
90001_12,4.105186452098458,69.64952990023171,0.9472867967238379
90001_13,3.3643250341084645,72.68380518365396,0.9805997003662844
90001_14,2.9227385227254,74.93415681317913,0.9431215893122129
90001_15,2.4908856602164984,77.97686858997788,0.8543726382732474
90001_16,2.0183406704680213,80.15623025148142,0.8326100095120773
90001_17,1.273320404048772,82.45691756617342,0.7488785065014906
90001_18,0.9324174879909934,85.13276771778695,0.7309430780852052
90001_19,0.20458300438277238,87.12620068215499,0.8144008368794889
90001_20,0.05993042024838575,84.62657458999728,0.7840986742543699
90001_21,2.5559950525286004,75.15035599029704,0.7478158959987582
90001_22,6.682353666154643,58.252377608751836,0.8528150611534298
90001_23,10.99170397977971,44.915591320626326,1.0237135401931072
90001_24,13.113559626890845,36.21746777759292,1.3869800823440799
90001_25,15.298879807248147,29.01656056723288,1.8509389828903378
90001_26,16.856375408441544,25.11569746832244,1.9553205450760394
90001_27,17.519926229316816,22.593873645482514,1.8215997345718007
90001_28,18.031604217466533,21.417661868875815,1.7879968700304478
90001_29,17.378896132342213,21.746474353634948,1.6536434628274712
90001_30,14.221329488421146,32.88124702219586,1.1355593557664612
90001_31,10.028481436267692,44.41563449528556,1.0274393266276607
90001_32,8.066931813674094,54.041604862292246,0.9773946832719834
90001_33,6.520837287027093,59.124561122823195,0.9479832511723653
90001_34,5.730315886327672,62.1705689832289,0.9289996247163653
90001_35,4.976548553496241,64.21792314164377,0.9087777009911762
90001_36,4.338177533623441,66.13313321625297,0.939783387249857
90002_00,12.4,34.0,2.2
90002_01,14.1,29.0,2.2
90002_02,15.4,25.0,1.5
90002_03,16.4,24.0,1.2
90002_04,16.655335529097457,23.780133373481455,1.5186882746807793
90002_05,16.09414709407006,25.76828241557373,1.3608025427800774
90002_06,13.69142592945604,37.6231028009719,1.03561233760083
90002_07,11.212600135520917,50.08265013905901,0.9515978137343026
90002_08,9.027243266903001,60.495895941536375,0.9556174047329967
90002_09,7.860640190439402,66.21265376966895,1.0374603679146004
90002_10,6.887688165740225,70.77989313330826,1.0408182269278492
90002_11,6.1790326366876975,74.16067748363697,1.0294672366302287
90002_12,5.723406790945217,75.6610041689308,1.0106660422639466
90002_13,5.363413570467074,76.5832087282801,1.0292724420664696
90002_14,5.257604011357703,76.5552757705983,1.0452719525379752
90002_15,5.047437876676064,76.68736538013096,1.0292724420664696
90002_16,4.856963359012998,76.49006102800632,1.0264707581716932
90002_17,4.419573171519963,76.45479461766416,1.0307171394252796
90002_18,3.9055287223681763,75.79871110068657,1.0292724420664696
90002_19,3.634083918561438,76.28400614899442,1.042302224526175
90002_20,3.6557039606878727,76.57887596639617,1.0590743442403932
90002_21,6.431592474573279,70.6807504596642,1.099935001946259
90002_22,9.326588746169929,61.06026172964116,1.1566784772550085
90002_23,11.960490415212481,49.40807740287848,1.2131044036226157
90002_24,13.88481143121707,38.12414443093366,1.2908087171840836
90002_25,15.509698722389182,31.408084285282012,1.4694522840118631
90002_26,16.742557970984855,27.529312438724553,1.5096442262998764
90002_27,17.276145075113277,26.013964586635517,1.5456982999586006
90002_28,17.924079430756652,25.635249381052812,1.5203284665673218
90002_29,17.325904721829158,28.596918570072862,1.473378330599003
90002_30,14.895930477940263,42.963284525000304,1.0859517797139278
90002_31,12.234416949319076,56.212796837260846,0.9512128365820314
90002_32,9.809800304609896,65.47211725340044,0.9273394842698249
90002_33,8.36226029644108,71.34193524479757,0.9923238002286124
90002_34,7.365382767459584,75.82440648896163,1.0101584816477256
90002_35,6.7017372557052015,77.55322724028481,1.062803689213289
90002_36,6.3169082204812135,78.09755050426429,1.062803689213289
90003_00,10.8,30.0,3.6
90003_01,12.7,24.0,2.9
90003_02,13.5,22.0,3.0
90003_03,14.4,21.0,3.3
90003_04,14.828091738274297,19.777798922800763,2.7370667253296594
90003_05,14.167514286892834,20.219348402654173,2.1697571015873955
90003_06,12.040171566161511,24.688363415183083,1.8377076897432079
90003_07,10.129780280614527,29.760987400258177,1.6835291563134138
90003_08,8.55077798526799,36.42543613561067,1.4941468878425095
90003_09,7.495392786951278,42.096116131435764,1.5187976989995478
90003_10,6.797681652815018,45.09268379229045,1.8057982976876088
90003_11,5.773901157942117,49.17197261634293,1.8251788886901663
90003_12,5.058042763308115,52.51112548342839,1.7336869269098951
90003_13,4.339558026452149,54.67602950050512,1.9068007950405472
90003_14,3.600483833323364,57.190055087488155,2.0243516506814685
90003_15,3.268087372532836,60.2798135931373,2.0024168519613323
90003_16,2.7845458126902467,63.618093106515495,1.947806429500389
90003_17,2.367319569739513,66.02994007832737,1.8028277335341965
