FORE_data,t2m_lgb_q,rh2m_lgb_q,w10m_lgb_q
90001_00,14.0,31.0,1.8
90001_01,16.4,24.0,1.8
90001_02,17.2,23.0,2.7
90001_03,17.6,23.0,2.1
90001_04,18.009604606851195,21.832197004849238,1.8714044633681834
90001_05,17.292837210545265,23.503982489042105,1.6807541412564546
90001_06,14.221329488421146,35.60461898351487,1.1544222979004108
90001_07,9.797867202093817,48.408825138265044,1.0274393266276607
90001_08,7.591103809047782,57.98964908212061,0.9773946832719834
90001_09,6.279393502103761,62.55535470954508,0.9291791279903779
90001_10,5.483526249239986,65.32069080179474,0.9044546251280401
90001_11,4.935605925689986,67.10102218892109,0.8796042284196953
90001_12,4.480256251464777,69.08608948153508,0.8993359585838018
90001_13,4.006076852427939,71.65187997470183,0.9158417651432553
90001_14,3.544240196791877,74.84724073854102,0.9328682351798968
90001_15,3.11456042589266,77.76621061018533,0.9181571111898624
90001_16,2.6946465211408497,80.5673780702312,0.9235172458369328
90001_17,2.228117935709602,82.79614167882913,0.9077877618003686
90001_18,1.6626009389381036,84.24745070271213,0.9265918849823559
90001_19,1.0278430403663887,85.75482776362269,0.9150824720444394
90001_20,0.9831426806290535,85.23820219704203,0.8851830633850305
90001_21,2.951462143291272,77.95540090710313,0.8983214036535967
90001_22,7.217708720339254,64.22218910643015,1.0048828867861093
90001_23,11.131724387111985,50.6142134457366,1.1694887158886
90001_24,13.176801270243553,42.89714536535584,1.3443552355358697
90001_25,14.957423484808505,39.80355209045698,1.6282278291487207
90001_26,16.406792998828518,38.33272229236981,1.9264755838548557
90001_27,17.144581522736743,37.801005085708894,2.1635193357717006
90001_28,17.56840728607691,38.70408178319021,2.160390250411597
90001_29,17.31603748493902,42.72347369190907,1.936766513213205
90001_30,14.922421262785239,54.02625245096913,1.2854081514762457
90001_31,12.504753897879244,62.76267628193723,1.2278170746271209
90001_32,10.599878933048164,67.30083576016885,1.2292794621580632
90001_33,9.502463508578623,70.23806274608823,1.2175303665347075
