FORE_data,t2m_lgb_q,rh2m_lgb_q,w10m_lgb_q
90001_00,12.0,21.0,3.3
90001_01,13.2,20.0,3.2
90001_02,14.1,19.0,4.5
90001_03,14.7,19.0,4.2
90001_04,15.299148694767563,17.827904720296218,4.236362613205407
90001_05,15.154702374886194,17.5244606364515,3.956436768705331
90001_06,13.37134042713404,22.423033501623102,3.1255816406312027
90001_07,11.198396412794818,26.480427477205726,2.960159682147078
90001_08,9.671745430380955,30.44401896477644,2.7235180358580786
90001_09,8.374036333966782,35.10103622481371,2.3144879414862225
90001_10,7.412206744397671,40.29075857954485,1.9504794214000314
90001_11,6.770869740061454,44.82557775076079,1.8178465009678442
90001_12,5.701178380777473,50.31299652003589,1.6386575659787246
90001_13,4.652519288080005,56.043576957768245,1.185303901433607
90001_14,4.048989961071474,59.40715028787762,1.0415187648216861
90001_15,3.2903967767506637,61.57971147121455,0.9637958504736367
90001_16,2.913816294650976,63.89935333673117,1.0189977116764073
90001_17,2.5302180339118294,66.36541920051611,0.8854548485142621
90001_18,1.8976156119277976,68.5196636210852,0.8886545061262675
90001_19,1.473674578229184,71.1855825721048,0.9104505789788488
90001_20,1.274757620492379,71.68740831733386,0.9759465149197621
90001_21,3.190982623809764,61.71681445077807,1.046135305404086
90001_22,6.364471916735353,46.453248423981705,1.3859344882496427
90001_23,9.838860196453776,34.79520564665725,2.186813429614489
90001_24,11.73806811201951,29.919743527449704,3.053625531815752
90001_25,13.080045099569084,26.43779267223244,3.544641405080764
90001_26,14.142814791133533,23.334474678719243,3.649787064094932
90001_27,14.72785201071789,21.01705203056222,3.5945948179475207
90001_28,15.410274615124912,19.7651350152358,3.319486767941562
90001_29,15.202443833074696,19.90972067210671,2.856853156709397
90001_30,12.563437534809541,26.854672212015128,2.1510944813992743
90001_31,9.369176880864064,38.22974468524592,1.6824574581582055
90001_32,7.107225481557571,48.42535704838772,1.4429270599430257
90001_33,6.008196934003183,53.42398890354764,1.3970598901682227
90001_34,5.017965613030686,55.47438641398144,1.2861916902114399
90001_35,4.363689382147383,58.05097412477655,1.2794691607849489
90001_36,3.757266949222702,59.90976084315851,1.2579520220212452
90002_00,12.4,22.0,2.85
90002_01,13.4,21.0,1.4
90002_02,14.3,21.0,5.3
90002_03,15.1,20.0,5.9
90002_04,16.188308842953518,18.731802430762187,4.84451433076369
90002_05,16.080150009808428,19.59537839401971,4.195206957442656
90002_06,14.5459290397848,22.35030593307226,3.115026388728925
