FORE_data,t2m_obs,rh2m_obs,w10m_obs,t2m_M,rh2m_M,w10m_M,t2m_catboost,rh2m_catboost,w10m_catboost,t2m_catboost_q,rh2m_catboost_q,w10m_catboost_q,t2m_lgb,rh2m_lgb,w10m_lgb,t2m_lgb_q,rh2m_lgb_q,w10m_lgb_q,t2m_lgb_global,rh2m_lgb_global,w10m_lgb_global,t2m_lgb_global_q,rh2m_lgb_global_q,w10m_lgb_global_q,t2m_catboost_global,rh2m_catboost_global,w10m_catboost_global,t2m_catboost_global_q,rh2m_catboost_global_q,w10m_catboost_global_q,t2m_seq2seq_global,rh2m_seq2seq_global,w10m_seq2seq_global
90001_00,15.1,50.0,1.1,16.44,56.09,2.488,15.1,50.0,1.1,15.1,50.0,1.1,15.1,50.0,1.1,15.1,50.0,1.1,15.1,50.0,1.1,15.1,50.0,1.1,15.1,50.0,1.1,15.1,50.0,1.1,15.1,50.0,1.1
90001_01,16.7,45.0,0.6,15.005,52.922,1.852,16.7,45.0,0.6,16.7,45.0,0.6,16.7,45.0,0.6,16.7,45.0,0.6,16.7,45.0,0.6,16.7,45.0,0.6,16.7,45.0,0.6,16.7,45.0,0.6,16.7,45.0,0.6
90001_02,17.5,41.0,2.1,16.54,47.69300000000001,2.196,17.5,41.0,2.1,17.5,41.0,2.1,17.5,41.0,2.1,17.5,41.0,2.1,17.5,41.0,2.1,17.5,41.0,2.1,17.5,41.0,2.1,17.5,41.0,2.1,17.5,41.0,2.1
90001_03,17.9,40.0,1.4,17.482,44.528,3.158,17.9,40.0,1.4,17.9,40.0,1.4,17.9,40.0,1.4,17.9,40.0,1.4,17.9,40.0,1.4,17.9,40.0,1.4,17.9,40.0,1.4,17.9,40.0,1.4,17.9,40.0,1.4
90001_04,,,,17.773,43.62,3.599,18.02714965352677,39.44835987429159,1.8273664725918035,18.014550543178608,39.652374080047565,1.8418276345074651,18.32187366933694,39.91346720181436,1.8247117532889248,18.33403110093378,39.990664614281066,1.8319878228143285,17.931867697729064,40.62002381250552,1.8926831321040132,18.069040853081642,40.390615246289116,1.814998288183567,18.008957045899397,40.376976142415145,1.8468636861029488,17.996611480127708,40.26796798713283,1.8746495098696512,17.782913208007812,39.767295837402344,1.9461544752120967
90001_05,,,,17.594,43.792,2.6210000000000004,17.568618044297388,42.23639634218957,1.7448592254855055,17.444529841678985,41.53763878733805,1.7877472269680132,17.924611333829702,41.902717763455854,1.9204513206985199,17.78106583791143,42.09125220450148,1.8407047218142327,17.482815608468684,43.537898175356815,1.820413834472021,17.631588682980443,42.19679191030495,1.7862684590518858,17.656167547363147,42.95937416296404,1.7299372004210256,17.652969680952975,43.02616572502329,1.7362481753995087,17.140386581420902,44.31441116333008,1.6241552829742432
90001_06,,,,14.286,53.75100000000001,0.865,15.772432616123526,52.059746178542525,1.1897191831733789,15.476458029527715,51.157279290050184,1.234890513466332,15.629280153942185,51.98662089149924,1.3156180565354785,15.616757147671898,51.54741855197175,1.2935418696028669,15.382080214523029,52.54280915410981,1.2702944935542029,15.397451148065002,50.68517806819273,1.1642155765947946,15.728275151496415,51.145725436037466,1.175262001552439,15.599612370792284,51.752000085216686,1.1643578462317072,15.230727195739744,53.33880996704102,1.1011147499084473
90001_07,,,,13.097,58.213,0.851,14.029999904941153,62.54850509015439,1.0453748384914328,13.492018072710964,60.77649047877162,1.0903404082543604,12.753175693386808,63.983121506309,1.1589765723401135,12.88640506745374,63.66137630156813,1.133557365009462,13.224099292047095,62.1201693219669,1.0754793159034537,12.722688203243179,60.709419310376084,1.0449870724889532,13.564857317340719,59.69722549631282,0.9852917737604298,13.505098188758753,60.46936821176466,0.9856090250941912,13.053582191467285,62.85563659667969,0.8592777848243713
90001_08,,,,12.637,59.503,1.689,12.07247790793626,70.1232771921866,1.0226210368412303,11.962322928684266,67.43437572277968,1.076952669721122,11.111986995108238,67.83311762007033,1.1979230401469427,11.92569841355342,68.99793757078162,1.172445703413148,11.445275103387676,69.26075544124677,0.9860255857686278,11.073119580699641,68.6395778425616,0.9985242701504692,12.029629830737298,67.7247492316384,0.9494744961119814,11.940954305579055,69.23762307994323,0.9264525537477858,11.464700698852539,70.5433120727539,0.8897539377212524
90001_09,,,,12.418,59.976000000000006,2.609,11.4234414388847,74.16282673542213,1.106922827840059,10.94204791119948,72.16214467084251,1.113493378918414,9.851139773955886,70.4795001922421,1.2017893753189228,10.598296424548034,71.88755066226939,1.19223180791898,10.282591438812023,73.7525176717973,0.9944784907933144,9.970650711665288,73.98974330646057,1.0398104889365258,10.947929877506109,72.0258673911493,1.0076651776562129,10.968432848046444,74.7841949118817,1.0111089476359565,10.373461723327637,75.83187866210938,1.002750039100647
