FORE_data,t2m_lgb_global_q,rh2m_lgb_global_q,w10m_lgb_global_q
90001_00,14.2,28.0,3.0
90001_01,15.5,25.0,2.2
90001_02,16.4,22.0,2.2
90001_03,16.7,19.0,2.8
90001_04,16.99948092361466,18.57068668553837,2.6220318568031074
90001_05,16.374133430387868,20.07424074054702,2.195384675586886
90001_06,14.025114089426888,28.801477728365537,1.6547556217932926
90001_07,10.699394534707176,41.92765393374565,1.2914623535071343
90001_08,8.734078297870663,55.716040262428244,1.1270331045524007
90001_09,7.474496570601994,63.54103932815091,1.0697704033747883
90001_10,6.158894169078706,69.14879839793876,1.0429626168494148
90001_11,5.181865353006221,72.50216910160815,0.9599640195079041
90001_12,4.5009083896843896,76.06708241078832,0.9245614144232771
90001_13,3.97531264752434,77.73022551083656,0.9634871997386573
90001_14,3.637186099269497,79.55050753266427,0.9487660008051108
90001_15,3.043078985967315,82.0471073279144,0.8716771080776385
90001_16,2.4971611325633827,83.79025893729974,0.8185225499646581
90001_17,1.7678866512706,85.26362391666127,0.8295550707949237
90001_18,1.4761179964851714,85.79951577836975,0.8644800537117695
90001_19,1.2175813024742232,86.3957418724744,0.8959444177238458
90001_20,0.9632263342062353,84.70045104869133,0.9007606272950979
90001_21,3.6899949193397132,77.67868304643213,0.8888551048835981
90001_22,7.479372512060896,60.70283824935984,0.8397416790078225
90001_23,11.546227980101177,44.17615342455156,0.9725532306425868
90001_24,14.22799164860142,34.91236609696311,1.3170747146198316
90001_25,16.29648593314626,27.573839833911848,1.6098534730409013
90001_26,17.507415195532147,24.236509912020654,1.8143197906405746
90001_27,17.977274525753458,22.78640744794078,1.7695280266859805
90001_28,18.299651980280647,22.5752991905347,1.6174513888149262
90001_29,17.507313957768176,24.345093796176972,1.4604147559198337
90001_30,14.727963826434864,35.43078736970988,1.0781486958699826
90001_31,11.00882831871384,49.19433627359335,0.9203423058850251
90001_32,8.586125361418604,60.95929615122744,0.8879076367228049
90001_33,7.04073336259592,67.89791475947968,0.8768778740946871
90001_34,6.195534967066993,72.01084400516231,0.8831977209903852
90001_35,5.355501764628099,75.17752468163434,0.885162740845108
90001_36,4.805277515068878,77.5914316616609,0.8898407449698247
90002_00,12.4,34.0,2.2
90002_01,14.1,29.0,2.2
90002_02,15.4,25.0,1.5
90002_03,16.4,24.0,1.2
90002_04,16.804795658036696,24.376303756097233,1.3908891576475488
90002_05,15.916280148982539,26.113578145057588,1.2389477872412942
90002_06,13.746005485877394,34.574557541375675,0.9682208286127263
90002_07,10.684844248549357,45.53729395491837,0.8496858188023056
90002_08,8.711598798685724,54.74526286477839,0.8390029406016594
90002_09,7.7185882275660695,61.27240476160401,0.8911641044439038
90002_10,6.688020371501694,66.27162819283791,0.8935127880211373
90002_11,5.9654071362493175,68.66133747681141,0.8420171509780832
90002_12,5.514555906546902,72.11539465563382,0.8427879410985136
90002_13,4.892858025795457,74.11657900823224,0.8278834929756328
90002_14,4.516638538110476,75.6720029747413,0.8395212805890593
90002_15,4.150366389275426,77.42068392060226,0.8519726914711759
90002_16,3.776117571079211,78.47621014436056,0.8425978912605073
90002_17,3.2461637858158445,79.08518490404416,0.849725910541551
90002_18,2.8373305303990763,79.88697424685866,0.8383080378291131
90002_19,2.513618076158238,80.06347727262967,0.8612418766331952
90002_20,2.6954555768879476,79.31812206220162,0.8697702079502975
90002_21,5.018315274041798,72.94658006557106,0.8975824407761758
90002_22,8.190146150601759,61.458818739290066,0.9293477479498392
90002_23,12.058298064996897,48.62139922933587,0.9859708574344295
90002_24,14.655426200315603,36.10886582135752,1.1346450256037013
90002_25,16.228434886192254,28.542795792202757,1.208537453660048
90002_26,17.202801684069225,26.100297118689735,1.2299864486156147
90002_27,17.533976086001978,25.227925777117097,1.3544287608962915
90002_28,17.723762209620464,24.725174905297894,1.3959203741416417
90002_29,16.922093917398524,27.433263156551494,1.2847772879241373
90002_30,14.653258830137258,35.934986825101554,0.9768455497414464
90002_31,11.733086938643375,46.54836091812777,0.8467588542849455
90002_32,9.479516226650299,56.79308286393725,0.8228717036843556
90002_33,7.879281476867083,64.87175275816098,0.8436308072296527
90002_34,6.956970752522944,68.94370168167454,0.8575915549014818
90002_35,6.421405537577987,72.54352305035538,0.8693390010970053
90002_36,5.785531741212371,75.5019469289739,0.8708535350367467
90003_00,10.8,30.0,3.6
90003_01,12.7,24.0,2.9
90003_02,13.5,22.0,3.0
90003_03,14.4,21.0,3.3
90003_04,14.713002892000624,20.986348271760694,2.8715686868175614
90003_05,14.230203967534823,22.49487797200737,2.5366132325000104
90003_06,11.835712227093254,27.64123160766153,2.063801822614718
90003_07,9.816707252676016,34.20053318261233,1.8722716163986206
90003_08,7.817088514240215,40.79878592505175,1.5355447177748447
90003_09,6.682277506721911,46.47808666956464,1.4558260202062216
90003_10,5.763788627811354,49.462545027762076,1.5287670821225974
90003_11,4.770386482861883,52.43334414535634,1.4899057745370743
90003_12,3.9039566853100616,55.410345036122955,1.4774340184594075
90003_13,3.4976682073902676,57.107073424809144,1.5686815545120054
90003_14,3.0512363122241375,58.80082847120538,1.6208707194323724
90003_15,2.5848445332584666,60.46102137009115,1.6186366876580827
90003_16,1.9513084340577418,63.22441743765768,1.6199468333499762
90003_17,1.4306305869690088,65.43050256437655,1.4965525396332278
