FORE_data,t2m_lgb_global_q,rh2m_lgb_global_q,w10m_lgb_global_q
90001_00,15.9,26.0,4.8
90001_01,16.5,24.0,5.3
90001_02,16.1,25.0,5.9
90001_03,15.9,26.0,6.2
90001_04,15.920089886538987,25.723615983103123,5.590188103325512
90001_05,14.833729904446887,27.039942423005748,5.247589968689642
90001_06,13.287049243236998,30.709524673454073,4.5310561827136295
90001_07,11.766986173331835,34.401049061129775,4.231188088242871
90001_08,11.012829735349499,37.217022551442284,3.500561851989226
90001_09,10.398590319956993,39.675940478277354,3.1183302834279156
90001_10,9.784890453840294,41.592639779711234,2.852988080496711
90001_11,9.139136632917792,43.47596203789033,2.8124550994237856
90001_12,8.59673442754021,45.128218626980214,2.4194457714339737
90001_13,7.527785133651918,48.08266893696489,2.2282742727868903
90001_14,6.714041694606842,50.485994893697224,2.16264897946357
90001_15,6.130183603888322,52.83877184397947,2.050249634821106
90001_16,5.377800568756877,54.89614861430774,1.8688999877642491
90001_17,4.794406119679264,56.564364206577125,1.7320022031747102
90001_18,4.197172129996791,57.750656757975946,1.6877298460604933
90001_19,3.756684693751897,58.42928650967333,1.7083166385852733
90001_20,3.886967614236597,57.80290136347894,1.677116973219652
90001_21,5.847797509810102,48.47423015058043,1.7277414723824198
90001_22,8.407517808086128,34.24539358172542,2.291093593046058
90001_23,10.998072185116694,23.96838227155837,3.0763353645612614
90001_24,12.701941169017097,20.170782011047276,3.831903324144644
90001_25,13.566909021598383,17.646042361094274,4.209570670161753
90001_26,14.67398904605142,17.222905503879126,4.316763617709907
90001_27,15.182236919672562,16.605725414232452,4.416935409418008
90001_28,15.253625713103498,16.75184739768596,4.245157069079043
90001_29,14.767932026855872,18.30145488429127,3.8224830725997596
90001_30,13.310566096010652,21.49506277731933,3.2090766692024233
90001_31,11.292336362973431,26.792432648716687,2.996844111544417
90001_32,10.223912709021555,33.53976538141073,2.6078656002879645
90001_33,9.116567274402836,38.44749135712464,2.192152015657883
90001_34,8.59083451774823,42.31839046834247,1.9134312836071745
90001_35,7.701881584571346,45.32020771385523,1.7897495077327463
90001_36,6.729454592598124,47.88311695634506,1.5311079595179073
90002_00,15.6,26.5,4.25
90002_01,15.8,27.0,6.5
90002_02,16.0,27.0,3.7
90002_03,15.4,30.0,4.3
90002_04,15.905065734739367,29.007711574988033,4.089334039891776
90002_05,15.4614592470137,29.1126933243532,3.951786142840326
90002_06,14.279107849746099,31.628353198239264,3.185148756231419
90002_07,13.065441727123098,35.301794433898,3.107366814542216
90002_08,11.483617624287668,39.82895458503523,2.550637212578157
90002_09,10.607180071438384,43.963583803439896,2.0559169185872666
90002_10,10.136064924814432,44.54583321189627,2.2907817941909676
90002_11,9.66454705127031,46.08160023096552,2.2820861416987395
90002_12,9.286210730554433,46.3038886650901,2.4617296669189046
90002_13,8.945383377361049,45.968429903828195,2.5310182914588983
90002_14,8.59426315868508,46.2475094950637,2.5319455707028093
90002_15,8.106634022229965,46.72882159725579,2.4593068590728313
90002_16,7.678358683197563,47.661739166173255,2.4091941435313164
90002_17,7.336417590258286,48.09998015707686,2.4727089839185186
90002_18,7.246064718948699,47.61688423796699,2.6286190547025954
90002_19,6.981636058916366,45.75994671726404,3.0640195204735226
90002_20,7.328659898932165,42.902655569139846,3.225218508956774
90002_21,8.405612651029584,36.304212000215486,3.9100030738182765
