FORE_data,t2m_lgb_global_q,rh2m_lgb_global_q,w10m_lgb_global_q
90001_00,14.0,31.0,1.8
90001_01,16.4,24.0,1.8
90001_02,17.2,23.0,2.7
90001_03,17.6,23.0,2.1
90001_04,17.91262981873118,22.61544376727029,1.8176852369780172
90001_05,17.309219450328346,24.378353880134995,1.6334055667298308
90001_06,14.537274578067018,35.43078736970988,1.1520164733329334
90001_07,11.027031627893425,49.19433627359335,1.0102495618488998
90001_08,8.605150485673983,60.95929615122744,0.9325036347492174
90001_09,6.883811081809299,67.52607992202255,0.9375866821726784
90001_10,6.035166961668846,72.42395624018233,0.9191548058821097
90001_11,5.224861389060288,75.17752468163434,0.9137432285736855
90001_12,4.591088209133207,77.84880618534213,0.9438271890399709
90001_13,4.178845226910838,79.62208820857352,0.9516469723859343
90001_14,3.8110719711739023,80.85770049034024,0.9678232852409364
90001_15,3.276832156733103,81.55634875927586,0.995365146667301
90001_16,2.701389464871963,83.31224069987232,0.9847577179036495
90001_17,2.4162869682570114,84.48747806286723,1.008484386097829
90001_18,2.0722036753970876,84.46852652871529,0.9928017626350508
90001_19,2.026041566740563,85.00781101421964,0.977911247277627
90001_20,2.4436576845931866,84.64606605955586,0.9368989564198567
90001_21,4.506189187596883,78.56438018917105,0.9881936105711531
90001_22,8.290476816838787,65.31028055694902,1.095699991719335
90001_23,12.053374410165938,49.49872098602843,1.1342470370754774
90001_24,14.551187964194318,41.50317267391699,1.3731151198008182
90001_25,16.339207622606843,38.38312147277547,1.6413265515936057
90001_26,17.332044233579182,37.244553171514774,1.7913767200910409
90001_27,17.612183259670168,36.59929247258376,1.9481298706762886
90001_28,17.90927429628235,38.1441025148156,2.006815071209703
90001_29,17.483114227350153,41.67112632989748,1.7696504005921752
90001_30,15.076717298938723,53.678947528625,1.1762028507340538
90001_31,12.19734828171129,64.02036294716727,1.0570561474391083
90001_32,10.516605186969597,70.0700227684719,0.9965739870203989
90001_33,9.286426960280927,74.46647749707456,1.017534522127326
