FORE_data,t2m_catboost_global,rh2m_catboost_global,w10m_catboost_global
90001_00,14.0,31.0,1.8
90001_01,16.4,24.0,1.8
90001_02,17.2,23.0,2.7
90001_03,17.6,23.0,2.1
90001_04,17.815379348172783,22.35894652667581,1.9769854781321383
90001_05,16.96493871258524,23.93239709563501,1.674599854017685
90001_06,14.305864319535026,32.465799675530015,1.1561813043197404
90001_07,11.493702756052915,42.64141225832028,0.9315570149546635
90001_08,9.457832118045289,51.913874081156735,0.8730777612778446
90001_09,7.911454067654241,58.328829200026,0.8697180327867737
90001_10,6.798945380419358,63.77258185099321,0.8726851556063407
90001_11,5.906013068829648,66.58221135293462,0.8717674669741119
90001_12,5.00149396245304,69.86118108798115,0.8907593880105509
90001_13,4.658026521017806,72.08046602980892,0.908638928133546
90001_14,4.410048174154891,75.02056054716726,0.9766624633830878
90001_15,4.074057143173602,76.62969348080087,0.9933631003152343
90001_16,3.6569154140659554,77.92946284616669,0.9577655297892641
90001_17,3.3804118750394077,78.74452941899982,0.9888016536390433
90001_18,3.093340146752446,78.74074889624828,1.0073524176327993
90001_19,2.8580705893411396,79.30708568384725,0.9867605801289244
90001_20,3.1713506888672525,79.37480224751711,0.9440351631485836
90001_21,5.0300163376041045,73.31893141420862,1.0080019003536735
90001_22,8.7916304872675,61.438397033000946,1.04698952773275
90001_23,11.99172802713898,49.06457374723695,1.1178184293073767
90001_24,14.20457324716527,41.906928439256454,1.2860692636717392
90001_25,15.533166377107687,37.92707635718377,1.461648585463146
90001_26,16.638474505546018,35.33335732969825,1.6719373093864076
90001_27,17.2575565885249,35.576204540034205,1.935656874659285
90001_28,17.59704253170584,37.051859749742775,2.0006942220188435
90001_29,17.15329950560845,40.514715853246685,1.7025994638229371
90001_30,14.75010857738028,49.62510458261048,1.196441942725674
90001_31,12.67961037075117,57.94506743763379,1.0184706433123818
90001_32,11.134174006678322,64.40786375803471,1.0053107005705118
90001_33,10.171169554190822,69.3555919634756,1.0065759348016758
