FORE_data,t2m_catboost_global,rh2m_catboost_global,w10m_catboost_global
90001_00,13.7,22.0,2.8
90001_01,14.8,21.0,3.4
90001_02,15.3,21.0,2.9
90001_03,15.9,20.0,1.6
90001_04,16.095540699633087,19.148306975287014,2.0946560773941685
90001_05,15.581518901540791,20.599466887687296,1.9497117378880913
90001_06,13.29066052327456,27.740312851884052,1.4343868682100422
90001_07,10.6484675406907,37.659538801052136,1.2887335424404343
90001_08,8.596969190530988,46.2330389545738,1.1348320979894397
90001_09,7.064828239818893,51.776189253356875,1.0260818958954447
90001_10,5.8633707413053875,56.39148605997958,0.9746796471648114
90001_11,4.979730756295672,60.2533927046418,0.9571004874671087
90001_12,4.397719134440316,63.88239452415725,0.9378283270894399
90001_13,3.4784481333000246,65.02415542129773,0.9239119687228569
90001_14,2.44689057632565,67.97318781815507,0.9100807635990068
90001_15,1.535850811192785,69.92664425583216,0.9230366568627129
90001_16,1.0865772766724429,71.72749260080859,0.921835804973047
90001_17,0.3923833666257187,73.58726953996194,0.9325432799416851
90001_18,-0.010447069234261185,75.14180703850697,0.9279863800263477
90001_19,-0.05787860167642417,75.87550446752569,0.9023587787908631
90001_20,0.2400737003932315,74.49274569896812,0.9180835406070191
90001_21,2.665926025575269,68.30883665733654,0.9236626239072995
90001_22,6.225630588871866,53.818228655434,0.9895010377417931
90001_23,9.437762641222893,39.97072707329763,1.349262216276482
90001_24,12.017778195092509,31.41290366253282,1.5736756106927587
90001_25,13.898967391083819,25.99101676131396,1.784429177915441
90001_26,15.224498066237349,21.268684290481758,2.008365457538692
90001_27,16.12376783371115,19.0088414950842,2.229170096686891
90001_28,16.544431995409813,18.450357764921232,2.2673760151762843
90001_29,15.955216644891491,20.07080857351779,1.8901801360620996
90001_30,13.520320889890026,27.27791978410364,1.4984359005974548
90001_31,10.8317346924885,36.96657882866698,1.1690794944270875
90001_32,8.842592389623647,45.90841145227527,1.0474257902065496
90001_33,7.350567344450369,51.26924713463463,0.9912088435719183
90001_34,6.139963552379476,56.2522675093865,0.9348545389429318
90001_35,5.229987113677016,61.03116120532118,0.8819564046369817
90001_36,4.425864148676575,65.06453191440352,0.8338291088670353
90002_00,13.4,31.0,2.4
90002_01,15.0,24.0,1.5
90002_02,15.7,23.0,1.3
90002_03,16.0,23.0,2.8
90002_04,16.153422939717444,22.463063584902354,2.1805992144368886
90002_05,15.752163686595043,23.222932760654377,1.9884599298786798
90002_06,13.796355905378329,27.737153584951667,1.4802389201566
90002_07,11.644421659973874,34.63970433909456,1.2400521847892823
90002_08,9.80466317462707,40.75783543216097,1.1316693978471988
90002_09,8.40385733649164,45.07089590718528,1.132117847858177
90002_10,7.490133304387135,49.122978252376576,1.1208121852527113
90002_11,6.4648963723288455,52.5015620606796,1.0956107454475863
90002_12,5.80868857999374,56.417631113622264,1.0314321316060513
90002_13,5.166833542936119,59.44875742753862,1.0172955893703373
90002_14,4.64675242598551,61.73298585980163,0.9887766640311603
90002_15,4.239609028645463,64.48632859991757,0.8819797404060402
90002_16,3.9363192185806426,66.069326370569,0.8911482343953151
90002_17,3.6516277327710958,68.98978242960285,0.8925980745550481
90002_18,3.3035828969341745,71.06012364883182,0.856379275070602
90002_19,2.9279640251759713,72.4112275794639,0.8929248282582988
90002_20,2.9514293485569576,72.67055328091905,0.8973900159856049
90002_21,4.721770615254928,67.32461734657176,0.9340423124200138
90002_22,7.606884978349713,55.46430967662949,0.9943508128911209
90002_23,10.220499439889759,45.465673773747724,1.0087782015525708
90002_24,12.539010424645863,36.563062295324286,1.211101488835731
90002_25,14.04665332392654,31.411189550807983,1.256696399298999
90002_26,15.185917180037276,28.83165414160412,1.2926847159807209
90002_27,15.853355916012049,26.279785891854505,1.242788080959071
90002_28,16.258416939159098,26.501206226838278,1.318829057175613
90002_29,15.731775301811544,28.748218139975656,1.250920678894349
90002_30,13.534120187319015,34.80429499359219,0.9632349990467892
90002_31,11.130959587532546,42.63114994693003,0.835418879861158
90002_32,9.271186666884818,50.2134127965533,0.8057566114059742
90002_33,7.767255610587877,56.781689109564965,0.8748329658595235
90002_34,6.659001406191906,61.62579910563146,0.8658889649953734
90002_35,5.827456018135836,65.05616510144498,0.859626687521565
90002_36,5.233372408837089,68.73534029186739,0.8276231627630388
90003_00,10.0,26.0,4.9
90003_01,11.3,24.0,4.2
90003_02,13.3,22.0,3.6
90003_03,13.5,21.0,2.2
90003_04,13.54957711517169,20.650195873443206,2.9097763290646093
90003_05,12.701618100227002,21.85301288876682,3.0040824961329102
90003_06,10.827811011179856,24.71059335614489,2.668393314137066
90003_07,9.20718031388429,28.172309222375414,2.490911650540172
90003_08,7.87185102257371,31.900408673080236,2.2576602320010406
90003_09,6.587781586343939,35.75969879760778,2.1613563939470413
90003_10,5.524760105874939,40.65118678084511,2.0325646356493112
90003_11,4.611367549647525,44.35877962351421,1.8573892387792363
90003_12,4.064649529051616,47.899219202374454,1.7459356932469847
90003_13,3.166310274861838,50.938881088233586,1.5758767550118924
90003_14,2.222174631823531,55.02347633472432,1.4615397765172882
90003_15,1.4639297514160612,58.76247156222417,1.3823578808097543
90003_16,0.9828947832264413,62.1925789924632,1.3332892851399802
90003_17,0.22420940674663065,64.27223280234332,1.3196412507039281
90003_18,-0.2198721032191277,66.68372196074604,1.2277385817429365
90003_19,-0.8849807542136484,69.26809626362397,1.1981195815003065
90003_20,-1.0475023455438133,69.87984410222005,1.2618561362489247
90003_21,0.7815613606345118,63.884303216124366,1.2966518036478072
90003_22,3.8196249094151358,51.66203672406934,1.522782244770133
90003_23,6.784424377070037,39.46029785408627,1.731680337559926
90003_24,9.152083835962262,31.871880697346676,2.214607843464176
90003_25,11.251959118301434,26.306066105326554,2.4907351512533626
90003_26,12.82626847716238,23.385613636431707,2.64187913291763
90003_27,13.834001005961266,21.26560114286307,2.715149591062242
90003_28,14.328003714580877,20.336215017861782,2.6287093440881826
90003_29,13.916881660032763,21.052650426277257,2.3526803789159945
90003_30,11.654005341304863,26.257630713793052,2.0917329475092066
90003_31,9.552552106893659,32.285686209330656,1.871501829442214
90003_32,7.74026758218272,37.76350517684031,1.5814188697761005
90003_33,6.3287830583035385,42.33988710129137,1.4504745202484879
90003_34,5.134088696243319,47.17157387861749,1.458795498566771
90003_35,4.355327081134509,51.00874490300302,1.3987297019648655
90003_36,3.71479668378056,54.823511495416824,1.33916573966582
90004_00,12.8,28.0,2.3
90004_01,13.8,26.0,2.5
90004_02,14.9,26.0,2.0
90004_03,15.6,24.0,1.5
90004_04,15.775217892154993,23.35753833028652,1.819928859451345
90004_05,14.794486200042849,25.17651786904176,1.8494749255905454
90004_06,12.412121469023239,33.04127088328287,1.3435027036037979
90004_07,9.848800895959721,43.15187856937277,1.168765793484682
90004_08,7.9706116357333165,51.43908459932735,1.1030494347015583
90004_09,6.689177065014325,56.65262408146495,1.1065370352252266
90004_10,5.37242600855684,62.00192873830692,1.070833650162478
90004_11,4.443616893459227,65.93582107681033,1.0372731089990088
90004_12,3.516285555961618,69.12032801586841,1.024064918834736
90004_13,2.5620928297191248,72.50038738693671,0.9953032159259769
