FORE_data,t2m_lgb_global,rh2m_lgb_global,w10m_lgb_global
90001_00,14.2,28.0,3.0
90001_01,15.5,25.0,2.2
90001_02,16.4,22.0,2.2
90001_03,16.7,19.0,2.8
90001_04,16.988111266823886,18.577454173900893,2.5659827697575186
90001_05,16.29848853694108,20.797935744277463,2.126110322640998
90001_06,13.466556099340199,27.926622907033476,1.7553911623244232
90001_07,9.868384522353931,40.59807509964808,1.3290257758810122
90001_08,7.807649519915726,53.657589572554585,1.1646471615958647
90001_09,6.184564895421818,60.33962603397102,1.0967796167376531
90001_10,4.964148260391968,65.82581910149113,1.0823902944068378
90001_11,4.075637589683484,69.89146615508297,1.0182067159509098
90001_12,3.457870942026853,73.51685574496058,0.9610520644170399
90001_13,3.006640034932166,76.69487497139691,0.9916979047126337
90001_14,2.497694579644782,79.08956754833144,1.0074499167879507
90001_15,1.6939519800684917,81.29017858399583,0.915185761449088
90001_16,1.1699681661053243,83.12800090959219,0.8788711530803106
90001_17,0.6045227211531141,84.77773448519704,0.8318314231275751
90001_18,0.29904308480137354,86.36971998209901,0.8783035847593383
90001_19,0.27596954365171544,86.94013276829774,0.9047793544600785
90001_20,0.47962191120676184,86.51615868172642,0.9596902730656146
90001_21,3.430649615547993,79.62964684124437,0.893551163555668
90001_22,7.403636406342293,63.33717587801044,0.8465109948692755
90001_23,11.394654732906949,46.30435227539865,0.9959990799174695
90001_24,14.324565497357984,35.607526787934056,1.3740893592739603
90001_25,16.26204895797976,26.85008969234621,1.659155122882317
90001_26,17.366706284812206,23.373566539293613,1.730189166948847
90001_27,17.886820908692364,22.782695345863694,1.7004282323808264
90001_28,17.95557853141165,22.990936536566238,1.567702471899256
90001_29,17.322503500806544,24.465404014565845,1.484369839713917
90001_30,14.39270799941876,34.358823387233926,1.1000682399031978
90001_31,10.673715281876778,46.553992332713264,0.9779350645357067
90001_32,8.275690857434729,57.8630920420385,0.8544444955668754
90001_33,6.980370076412409,64.08519171996596,0.8700466817557833
90001_34,6.127403374940926,68.95219482944944,0.8849307993601261
90001_35,5.269783486188461,72.64133231936151,0.897060822965583
90001_36,4.526631391943292,75.70167648959404,0.9202057193273883
90002_00,12.4,34.0,2.2
90002_01,14.1,29.0,2.2
90002_02,15.4,25.0,1.5
90002_03,16.4,24.0,1.2
90002_04,16.756061244241756,24.864827673387957,1.3671089475002558
90002_05,15.895077976278722,27.289687732994807,1.2497963230287337
90002_06,13.411456887162252,34.72293032141319,1.0049764729852504
90002_07,10.17300219951318,46.377679629779585,0.903971137335515
90002_08,8.181843638733575,56.02473583204732,0.8502848186710885
90002_09,7.153719863268674,61.183783644105965,0.8954919440161782
90002_10,6.2264156031198965,66.14572041390552,0.8870403762646643
90002_11,5.434821875645474,68.84448736325568,0.8383949854503876
90002_12,4.876180641619279,72.24886802805413,0.8474220938189937
90002_13,4.493341402859727,74.43799895283048,0.8283268135595467
90002_14,4.187821122614642,76.04910323726634,0.8368674366284113
90002_15,3.82278393567637,77.65026074550862,0.8464503834380707
90002_16,3.7969195886564977,79.66471655693304,0.8309256717048443
90002_17,3.225528263628692,81.30978876519154,0.8322911526516372
90002_18,2.7764088021742577,82.19979728695672,0.8475794153977596
90002_19,2.4778011439810133,83.18601067274022,0.848993369328784
90002_20,2.578182539669726,82.75433886046198,0.8767458323554492
90002_21,4.55410770038035,76.35380495500436,0.8872454212082208
90002_22,7.513246006357085,64.85894004052125,0.9286922914817515
90002_23,11.366331904955302,50.62166519712054,0.9997906632856158
90002_24,14.405289499253282,36.267686877892295,1.1897676369939907
90002_25,16.10476009528162,28.041050262685786,1.2771383756214798
90002_26,16.968817384352988,25.100104864404315,1.313682272164971
90002_27,17.44535782726419,24.412163896444042,1.38292449924367
90002_28,17.694974321172946,24.242478494396032,1.3885160848794773
90002_29,16.902208538955552,26.686445222874443,1.330172566387574
90002_30,14.433174484920007,34.85588973471321,1.0735973064888316
90002_31,11.254992513761827,45.98124599702749,0.9420883808604137
90002_32,9.216811103001149,56.50998549050437,0.857033808003658
90002_33,7.864059884435031,63.57914089707165,0.8406470943955308
90002_34,7.066992105057998,68.66279161919444,0.8608950220177954
90002_35,6.397479951139284,72.36295113670153,0.8829526822025219
90002_36,5.912760104366417,74.95917893791514,0.8729485197157061
90003_00,10.8,30.0,3.6
90003_01,12.7,24.0,2.9
90003_02,13.5,22.0,3.0
90003_03,14.4,21.0,3.3
90003_04,14.667726028565458,20.65354139376075,3.023687521046691
90003_05,14.143239376590419,22.41171292391613,2.588275102322857
90003_06,11.636500217420663,27.25079709465127,2.274409209084183
90003_07,9.373849448551654,33.53316957309677,2.0307223742362766
90003_08,7.44464069965643,40.980283461538484,1.620576962791968
90003_09,6.125096385863363,45.85782137944411,1.5185462286836686
90003_10,5.067116973820309,49.09178471307117,1.540731412349326
90003_11,4.350155128034824,52.19171856210345,1.4455174680561906
90003_12,3.618863817531061,55.490726799230885,1.4166349181678775
90003_13,2.964042415962273,57.19520013122814,1.5550341906701342
90003_14,2.543660397578305,58.90927045167024,1.6034951469391165
90003_15,1.7864436826875532,60.970686287378676,1.599232056908899
90003_16,1.4259935186598482,63.898210123629305,1.6122702655894983
90003_17,0.868320366474024,66.7652102088031,1.4562929010320866
90003_18,0.6085160432945753,68.84118006675467,1.4649620023707264
