FORE_data,t2m_lgb_global,rh2m_lgb_global,w10m_lgb_global
90001_00,13.7,22.0,2.8
90001_01,14.8,21.0,3.4
90001_02,15.3,21.0,2.9
90001_03,15.9,20.0,1.6
90001_04,16.033901155920066,19.51277184218316,2.117583327315545
90001_05,15.300276340075662,21.074640861846913,2.021357041763234
90001_06,12.698151728178841,28.035925214930348,1.4500835959832519
90001_07,9.78904686476026,38.93979949863502,1.2801704751846075
90001_08,7.408591690415642,49.70754595255942,1.10231904096462
90001_09,6.175948537805798,56.11049557176941,1.0727666344340727
90001_10,5.055951569385728,61.02531798541296,1.0264231397730719
90001_11,4.349396820092217,64.7489546142357,1.04706992522451
90001_12,3.4766319056957826,68.76710342203032,0.9909568428544147
90001_13,2.9369406837735887,71.81340093863722,0.9605821153613611
90001_14,2.1456770071127975,74.52579208220574,0.8744522279192892
90001_15,1.4819899033790325,77.36341164260936,0.8326422647686809
90001_16,0.8373289335956055,79.18055358218335,0.8616588928287678
90001_17,0.5801147468553288,80.63465240273028,0.8606472756409195
90001_18,0.25390163620251743,82.37597646869712,0.85935156825487
90001_19,0.09418261569967387,83.18866358268137,0.8258605368272967
90001_20,0.008275730609529929,82.21234647663678,0.8271176088380138
90001_21,3.2640976851607206,74.55908094311708,0.8100667431860429
90001_22,6.64261226089712,59.408178692858904,0.8890941502032432
90001_23,10.429529935126792,42.377811594726275,1.263877715073098
90001_24,13.083398162551699,32.03898225018094,1.6112682170090764
90001_25,14.766356503467238,25.449768053528143,1.6923016985670076
90001_26,15.92153716237034,21.788818670775004,1.83404002687955
90001_27,16.565668433759093,19.823283326514357,2.100786031371905
90001_28,17.020776422689433,19.233319538131248,2.193474074005883
90001_29,16.334845971993076,20.797935744277463,1.9432662101887184
90001_30,13.22718358710783,27.998431263608666,1.6041128467255736
90001_31,9.525085243259024,40.5810823226557,1.2869064978755715
90001_32,7.441922359754937,53.20999988800158,1.1211197507399076
90001_33,6.042734488699272,59.19347725303505,1.0702356017683023
90001_34,5.113885951599598,64.98080666400762,1.0366323088341627
90001_35,4.299844980785994,68.6848812127789,0.9832806021991116
90001_36,3.4945223182505196,72.65273012773855,0.9174433428716631
90002_00,13.4,31.0,2.4
90002_01,15.0,24.0,1.5
90002_02,15.7,23.0,1.3
90002_03,16.0,23.0,2.8
90002_04,16.24282551753382,22.98325083422869,2.0995949989048026
90002_05,15.483363498944657,24.12577482468156,1.900196237801689
90002_06,13.842825705132581,28.707530544928677,1.4800504993191061
90002_07,11.34402079412284,36.95575591383554,1.3218093292566364
90002_08,9.727089432181812,44.0822159901877,1.1542167195398194
90002_09,8.429019629830558,49.21094022564558,1.0875928205690608
90002_10,7.735200507743699,52.37067665121651,1.1030920903705972
90002_11,6.888569402181314,55.40249454594406,1.1205775418245314
90002_12,6.372469007333561,57.981075163029494,1.069847699213906
90002_13,5.8807029148179515,60.31007910388461,1.05195632097016
90002_14,5.358873956286727,62.6393154131457,1.002747763400163
90002_15,4.93098022836781,65.92960359962147,0.9207751376565723
90002_16,4.435375108529753,67.91691161092177,0.9102567284107802
90002_17,3.92011484500896,69.8235422494969,0.9081641009959963
90002_18,3.627630583301563,71.9480465347934,0.8927013344458485
90002_19,3.304412383503271,73.21947057506792,0.8551354702383984
90002_20,3.202063799317577,72.67687457806369,0.8540064382787095
90002_21,4.846145256487524,65.75268190966861,0.8915577973544988
90002_22,7.866794248671884,53.94015129872087,0.897870019695761
90002_23,10.709263254011686,41.358020999131845,0.9772025401329187
90002_24,13.075892215725565,34.273977843098805,1.1510442654011672
90002_25,14.292506544997273,30.2927490849011,1.2466298632451496
90002_26,15.29753828071182,27.78604257728823,1.3484990168820987
90002_27,15.584434147340664,27.82064356201016,1.3774468535444648
90002_28,15.816945528441211,27.772714079552124,1.4005687054082807
90002_29,15.032601596431734,29.7447251594579,1.308523147241657
90002_30,13.028497429169065,38.07176604550334,1.0437237808316988
90002_31,10.059331233601815,48.274475619502034,0.9218525611272594
90002_32,8.20243929025212,57.027082735871936,0.8630229561532238
90002_33,7.1596492580912345,61.568352840499955,0.8872371474703035
90002_34,6.2264156031198965,65.93142296981809,0.8745989003062211
90002_35,5.472556952318502,68.78876606722535,0.8352038521540407
90002_36,4.910141568455644,72.15414769852217,0.8349806178605504
90003_00,10.0,26.0,4.9
90003_01,11.3,24.0,4.2
90003_02,13.3,22.0,3.6
90003_03,13.5,21.0,2.2
90003_04,13.645090764598601,20.407095630960328,3.1441636040807475
90003_05,12.742738408288968,20.318366318697883,3.0463869396245595
90003_06,10.951850502883815,23.505400353240315,2.872004120410434
90003_07,9.520968396433528,28.273955703107482,2.704172844425278
90003_08,7.985564839899968,33.98823134265985,2.4911158054003697
90003_09,7.118066558302353,38.970357532760936,2.2361959471921002
90003_10,6.059680548457529,43.876535985897924,2.1313757576563406
90003_11,5.149803737162889,48.25887968606751,2.0050253606359147
90003_12,4.416392925662883,52.262802022499635,1.8636904272728334
90003_13,3.4793734859210685,55.82558949792005,1.6733048910168244
90003_14,2.8708019498915847,59.117345010150615,1.5442160759361165
90003_15,2.0930084680511274,61.80661763533249,1.4948196809139227
90003_16,1.471489179479867,64.54645478780199,1.4417026545406275
90003_17,0.8397353454941764,66.79012706418341,1.3577532647616823
90003_18,0.4328192810273909,69.01905341280161,1.312310619406431
90003_19,-0.06608502639405088,70.67167686174274,1.313914544919784
90003_20,-0.45891332557168096,70.66257961888259,1.3118597999930695
90003_21,1.5290143640132317,64.11876850570376,1.3671211266759802
90003_22,4.710584507284712,50.86584759696565,1.5184184783479109
90003_23,8.103102857501,36.98081194907465,1.6755506685331192
90003_24,10.352757271717115,29.460567073474248,2.0394071417130046
90003_25,12.205675571393007,24.181702739475007,2.2990848578639262
90003_26,13.553200129155522,21.333264469385345,2.533840395631455
90003_27,14.428854545609376,19.983496342941145,2.7308505478873832
90003_28,14.739209906711793,19.59652107462496,2.6544999621175394
90003_29,14.036468600752343,21.284586407510847,2.350586315403236
90003_30,11.49984472582733,26.162687559315597,2.0658189639560325
90003_31,9.332359286811608,32.76898328531209,1.8815022859163322
90003_32,7.33726002621062,41.26003702134127,1.581869838108986
90003_33,6.147061867026507,47.099686966186034,1.4934745719098619
90003_34,5.070789877468559,50.656803242566575,1.5302607310349632
90003_35,4.34097188739037,55.38859010092967,1.4630392377359152
90003_36,3.3944750289455308,58.49178268334168,1.4260426744586376
90004_00,12.8,28.0,2.3
90004_01,13.8,26.0,2.5
90004_02,14.9,26.0,2.0
90004_03,15.6,24.0,1.5
90004_04,15.744776061028883,23.950264179382927,1.8206257319142758
90004_05,14.894752719471269,25.673596521370087,1.7941302687319531
90004_06,12.046927077596159,36.271850146020064,1.3708321055811878
90004_07,9.0696550385008,49.23402625663552,1.0839072545143436
90004_08,7.275553996303568,58.26095611643986,0.993056784143838
90004_09,6.013112559782707,64.83088653087003,0.9889528948918989
90004_10,5.003738079326889,69.65089004408163,0.9261220044239594
90004_11,4.166930135546789,73.39734590500413,0.9304369608730557
90004_12,3.452926311437938,77.10683887022351,0.9343266054401203
90004_13,3.0285509450252937,79.36029301265087,0.9388948225692889
