FORE_data,t2m_obs,rh2m_obs,w10m_obs,t2m_prophet,rh2m_prophet,w10m_prophet,t2m_M,rh2m_M,w10m_M,t2m_seq2seq_global,rh2m_seq2seq_global,w10m_seq2seq_global
90001_00,15.1,50.0,1.1,10.472782994092713,56.64943892468494,1.6046678997275448,16.338001000000002,48.7265,3.057,15.1,50.0,1.1
90001_01,16.7,45.0,0.6,11.415804270231387,53.49666736106762,1.8250697441812973,15.9904995,46.802498,2.73,16.7,45.0,0.6
90001_02,17.5,41.0,2.1,12.0843212999572,51.599120308835275,1.9635653346014759,17.1805,43.87600000000001,2.8795,17.5,41.0,2.1
90001_03,17.9,40.0,1.4,12.628162885136767,50.16754319904639,2.0112640230124867,18.006,41.6195,3.672,17.9,40.0,1.4
90001_04,18.357,39.456497,3.701,12.949005428381419,49.29549537063565,1.9543340093939248,18.357,39.456497,3.701,17.782913208007812,39.76729583740234,1.9461544752120967
90001_05,18.2285,39.051003,2.8425,12.78219821594525,49.83630126762374,1.7855477165365985,18.2285,39.051003,2.8425,17.140386581420902,44.31441116333008,1.6241552829742432
90001_06,14.7125,48.736,1.1505,11.962634547575009,52.471006236162566,1.5309209749007708,14.7125,48.736,1.1505,15.230727195739744,53.33880996704102,1.1011147499084473
90001_07,13.514999,53.03700300000001,1.035,10.618092578822283,56.89522867299151,1.2584580805932208,13.514999,53.03700300000001,1.035,13.053582191467285,62.85563659667969,0.8592777848243713
90001_08,12.96,54.512,1.719,9.11208109501706,61.89419012238629,1.0493325416623382,12.96,54.512,1.719,11.464700698852539,70.5433120727539,0.8897539377212524
90001_09,12.599,55.5415,2.279,7.797918468910493,66.20288582085645,0.9489508099386932,12.599,55.5415,2.279,10.373461723327637,75.83187866210938,1.002750039100647
90001_10,12.2015,57.0745,2.4930000000000003,6.811542403492664,69.32909522843397,0.939075213475098,12.2015,57.0745,2.4930000000000003,9.5841064453125,79.37197875976562,1.1068832874298096
90001_11,12.269,58.86,2.9695,6.0708153137726475,71.62680169872694,0.9570086801918288,12.269,58.86,2.9695,9.09975528717041,82.0458984375,1.1879734992980957
90001_12,12.2295,62.303,3.137,5.438645291814451,73.68288369478826,0.9463848615478744,12.2295,62.303,3.137,8.787513732910156,84.31267547607422,1.25395405292511
90001_13,12.74,69.885,3.884,4.862785972889447,75.71579708667741,0.8957419154727894,12.74,69.885,3.884,8.800477981567383,86.08819580078125,1.3121589422225952
90001_14,12.653,70.515,3.584,4.363820028242882,77.56171726566824,0.8334377906042263,12.653,70.515,3.584,8.821375846862793,86.94547271728516,1.3092693090438845
90001_15,13.07,70.473,3.672,3.9281681848011454,79.1207568083425,0.7889603693951354,13.07,70.473,3.672,8.807221412658691,87.3185043334961,1.3036885261535645
90001_16,13.284,70.069,3.804,3.4710984603563912,80.6220533748347,0.7613528654757661,13.284,70.069,3.804,8.80629825592041,87.60015869140625,1.302287459373474
90001_17,13.318,68.476,3.543,2.9487583800305384,82.29270216685757,0.7260200981142719,13.318,68.476,3.543,8.700053215026855,88.3377685546875,1.2686132192611694
90001_18,13.285,67.055,3.449,2.510706323502543,83.74050708763562,0.6715549997350113,13.285,67.055,3.449,8.583561897277832,89.33538818359375,1.249642848968506
90001_19,13.099,63.964,3.5810000000000004,2.501668345948188,83.79758602386127,0.6276288961225984,13.099,63.964,3.5810000000000004,8.486655235290527,90.3091049194336,1.2000747919082642
90001_20,12.764,61.292,2.661,3.2472775986442586,81.207482331147,0.6532495839997339,12.764,61.292,2.661,8.348946571350098,90.67511749267578,1.0454410314559937
90001_21,12.122,66.687,1.588,4.779601270584512,75.68695496997563,0.7931973090160381,12.122,66.687,1.588,8.58293342590332,88.9364242553711,0.9710677862167358
90001_22,12.142,63.598,1.885,6.750135815603508,68.40996458535803,1.0411866238151466,12.142,63.598,1.885,9.43734073638916,84.2457275390625,1.0832887887954712
90001_23,12.066,62.293,2.3480000000000003,8.632266322661298,61.383932170946295,1.3416416738210342,12.066,62.293,2.3480000000000003,10.400433540344238,79.70869445800781,1.1858018636703491
90001_24,11.503,67.39,1.53,10.056999590157584,56.17051597798031,1.6255360191011874,11.503,67.39,1.53,10.60959529876709,78.93492889404297,1.1632122993469238
90001_25,10.687,74.26100000000002,1.065,10.999700860208405,53.019084885783,1.8459674919914184,10.687,74.26100000000002,1.065,10.08696460723877,79.67645263671875,1.1381139755249023
90001_26,9.745,80.12100000000002,1.26,11.667902879503044,51.122872716690594,1.9844924302164109,9.745,80.12100000000002,1.26,9.485901832580566,78.9795150756836,1.203996181488037
90001_27,9.228,78.737,1.758,12.211434464095795,49.69262480852829,2.0322201860808207,9.228,78.737,1.758,9.132777214050293,76.8279037475586,1.3025673627853394
90001_28,8.836,76.53,2.192,12.531972030374007,48.82190040804271,1.975318959824485,8.836,76.53,2.192,8.868426322937012,76.14076232910156,1.357380986213684
