FORE_data,t2m_obs,rh2m_obs,w10m_obs,t2m_prophet,rh2m_prophet,w10m_prophet,t2m_M,rh2m_M,w10m_M,t2m_seq2seq_global,rh2m_seq2seq_global,w10m_seq2seq_global
90001_00,14.2,28.0,3.0,11.655123419223376,58.29345408867359,1.547497042039887,13.635,33.722,2.3415,14.2,28.0,3.0
90001_01,15.5,25.0,2.2,12.599746087167931,55.136273365465314,1.7677689718463871,13.746,26.317001,2.783,15.5,25.0,2.2
90001_02,16.4,22.0,2.2,13.269852487533011,53.23431895336493,1.9061355046450523,14.902,22.8255,2.9675,16.4,22.0,2.2
90001_03,16.7,19.0,2.8,13.815271347941724,51.798336612064325,1.9537059925301865,15.335,22.2115,3.559,16.7,19.0,2.8
90001_04,17.5,19.0,1.8,14.137678997528221,50.92188600791688,1.8966486355242995,15.445,22.26,3.5925002,17.534181594848633,19.90446281433105,2.422621965408325
90001_05,16.9,17.0,3.9,13.972424649523573,51.45829191211779,1.7277358564418712,15.0125,24.2625,3.051,16.577627182006836,22.007614135742188,2.0367164611816406
90001_06,14.9,22.0,0.9,13.15440153136744,54.0885999969481,1.4729834857462445,11.9775,29.634998,2.8855,14.55344009399414,27.11718368530273,1.5688847303390503
90001_07,9.3,41.0,2.152,11.811387726920481,58.508428984543606,1.2003958195467366,10.3535,33.236,2.152,11.948987007141113,35.60004425048828,1.2007006406784058
90001_08,6.6,51.0,1.376,10.306891950191435,63.50300074463532,0.9911463658095884,9.757,34.795,2.1,9.541753768920898,45.47733688354492,1.028335690498352
90001_09,4.9,58.0,0.6,8.99423250370665,67.80731083678113,0.8906415763490118,9.153999,36.531,1.8425,7.718933582305907,52.45190811157226,0.9869688153266908
90001_10,3.8,63.0,0.6,8.009347020465839,70.92913904462145,0.8806437791314689,8.4585,39.87300000000001,1.7065,6.432318687438965,57.07916641235352,0.9947561621665956
90001_11,2.6,71.0,0.6,7.2700978462641475,73.22246904403319,0.8984559019790054,7.9680004,41.924,1.446,5.493916034698486,62.16013717651367,0.9962581992149352
90001_12,1.8,75.0,1.2495,6.639393004574172,75.27417961954987,0.8877115962341758,7.2609997,43.9175,1.2495,4.719489574432373,66.22572326660156,1.068811058998108
90001_13,0.8,81.0,0.8247500000000001,6.064986062705178,77.3027269618529,0.8369490196912484,6.9510000000000005,42.363,2.363,4.071521759033203,69.48286437988281,1.1735879182815552
90001_14,0.5,83.0,0.4,5.567459624589096,79.14428678192921,0.7745261208317192,6.5710000000000015,42.648,2.211,3.488133430480957,72.68956756591797,1.1280512809753418
90001_15,-0.2,85.0,0.6,5.133234350425624,80.69897197541178,0.7299307819386573,5.615,44.927,1.086,2.889467000961304,75.36141204833984,0.9850528240203856
90001_16,-0.5,86.0,0.8,4.6775781919898085,82.19592052031892,0.7022062164463362,5.3439999999999985,44.78100000000001,0.7959999999999999,2.3516764640808105,78.10028839111328,0.9250008463859558
90001_17,-0.8,88.0,0.5,4.156638609035728,83.8622279353239,0.6667572434081649,5.093,44.5,1.016,1.8637121915817259,80.77536010742188,0.9697463512420654
