FORE_data,t2m_obs,rh2m_obs,w10m_obs,t2m_prophet,rh2m_prophet,w10m_prophet,t2m_M,rh2m_M,w10m_M,t2m_seq2seq_global,rh2m_seq2seq_global,w10m_seq2seq_global
90001_00,15.9,26.0,4.8,12.696050398071876,60.23785832865799,1.5019006826751524,15.935498999999998,34.197,6.4245,15.9,26.0,4.8
90001_01,16.5,24.0,5.3,13.642910239800177,57.07702495900745,1.7219826486780827,15.486,27.999,7.3655,16.5,24.0,5.3
90001_02,16.1,25.0,5.9,14.315248479896814,55.17139540883728,1.8601600082046,15.894001,26.613499,8.518499,16.1,25.0,5.9
90001_03,15.9,26.0,6.2,14.862893738787825,53.73171576756106,1.9075421151965064,15.7295,26.403,9.4175,15.9,26.0,6.2
90001_04,15.2,29.0,5.7,15.187522238381089,52.85154603290927,1.8502971714774503,15.2495,26.174,8.4285,15.241579055786133,23.83083152770996,3.972207307815552
90001_05,14.5,31.0,4.1,15.024483085155175,53.38421130756213,1.6811976016529089,14.042,31.647501,7.4364996,14.627517700195312,25.67509841918945,3.345700740814209
90001_06,13.8,32.0,3.9,14.208669400210084,56.01075759549477,1.426259237952449,11.2125,38.718002,4.1345,13.2671537399292,28.206342697143555,2.643155097961426
90001_07,11.4,38.0,3.9,12.867859161023743,60.42680395232816,1.1534863781732536,10.155001,34.472,3.894,11.62160873413086,31.758115768432614,2.079381465911865
90001_08,11.2,31.0,4.7,11.36556097598248,65.41757258034079,0.9440525320272004,8.136499,36.531002,2.138,10.01959991455078,36.47397994995117,1.5686308145523071
90001_09,10.5,28.0,6.3,10.055093042003676,69.7180593732319,0.8433641529907242,6.8185,37.8465,0.948,8.7557373046875,39.489253997802734,1.2563886642456057
90001_10,9.0,28.0,1.8,9.072392886989434,72.83604444869593,0.8331835706723426,6.185,37.0925,1.452,7.909731388092041,39.24897384643555,1.3541104793548584
90001_11,8.1,29.0,2.5,8.335322751749146,75.12551181783796,0.8508137145157444,6.6294994,35.325,3.604,7.38529109954834,38.57110977172852,1.6296099424362185
90001_12,7.4,32.0,0.9,7.706790555330079,77.17334060026654,0.8398882374594111,5.2605,41.0035,2.632,6.763413906097412,37.78136444091797,1.8746118545532229
90001_13,3.5,48.0,0.4,7.134549760909582,79.19798732231581,0.7889452988629385,5.027,39.283,3.663,6.1225218772888175,35.76208877563477,2.229300022125244
90001_14,1.8,59.0,2.4,6.639182868452116,81.0356280317164,0.7263428487417177,5.214,38.544,4.295,5.6117262840271,34.68772506713867,2.5323503017425537
90001_15,2.6,50.0,2.4,6.207110434819603,82.58637596028386,0.68156877089679,4.5,39.841,3.708,5.064530372619629,34.97030258178711,2.607529878616333
90001_16,4.9,32.0,2.6,5.753600308620173,84.07936942331133,0.6536662802463348,3.384,42.31800000000001,3.059,4.423452854156494,36.551918029785156,2.5582139492034908
90001_17,5.0,27.0,1.7,5.234799846829698,85.74170427704834,0.6180401973048109,2.552,42.486,2.779,3.7523043155670166,39.18751907348633,2.4553985595703125
90001_18,4.0,31.0,1.6,4.800267261998288,87.18118507867901,0.5632834556980543,2.202,41.611,2.445,3.156348705291748,42.33510208129883,2.30298113822937
90001_19,4.3,29.0,2.1,4.79472844319022,87.22993036826703,0.5190673823672409,1.894,42.622,2.467,2.715003967285156,45.65456008911133,2.1467175483703613
90001_20,4.3,31.0,2.5,5.543816376617633,84.63148415415905,0.5443997751448267,1.582,43.606,2.247,2.868459939956665,47.18468475341797,1.9325932264328003
90001_21,6.8,25.0,2.4,7.079598087218861,79.10260604893305,0.6840608807467276,5.9289999999999985,34.244,2.064,4.866937637329102,40.24234008789063,1.9071605205535889
90001_22,9.0,24.0,4.6,9.053569865839671,71.81725734897417,0.9317652528365201,8.687999999999999,24.72,4.993,8.317080497741701,29.584136962890625,2.3240714073181152
90001_23,10.8,22.0,3.4,10.93911663950241,64.78285969855635,1.2319370378145773,9.924,22.827,5.444,11.067349433898926,24.765361785888672,2.730731010437012
90001_24,12.0,21.0,3.3,12.367245045737588,59.56107199874819,1.515549796680738,12.6085,26.296501,5.2,12.516312599182127,21.5576171875,3.0165212154388428
90001_25,13.2,20.0,3.2,13.313320166857645,56.40126377788168,1.735701362659876,13.052,20.7075,6.1425,13.275716781616213,19.350454330444336,3.3131537437438965
90001_26,14.1,19.0,4.5,13.984874590836904,54.496669506416644,1.8739480743201984,14.066999,20.1795,6.2965,14.142097473144533,19.266651153564453,3.4116015434265137
