FORE_data,t2m_catboost,rh2m_catboost,w10m_catboost
90001_00,15.9,26.0,4.8
90001_01,16.5,24.0,5.3
90001_02,16.1,25.0,5.9
90001_03,15.9,26.0,6.2
90001_04,16.196735900119194,25.346830316574458,6.019284084172509
90001_05,15.437933902972238,26.681573052989428,5.724117464244042
90001_06,13.955514341680022,32.26131906413641,4.481231129197863
90001_07,12.177443357684412,36.89874801544193,4.166681557292359
90001_08,11.28694211180375,38.15772004639063,3.274963265512551
90001_09,10.365140877762656,42.063682868021935,2.823107835056189
90001_10,9.472771820672513,42.57763928955611,2.590724361541855
90001_11,8.933060316721336,43.96345947241347,2.55285106028595
90001_12,8.467313441048491,45.82211072841741,2.3668966286879716
90001_13,7.447311896217186,48.83010664946754,2.0945754121333455
90001_14,6.87404773518356,49.891430565044935,1.912667958674482
90001_15,6.374762862566277,50.50221947251082,1.82409499888603
90001_16,5.541645779648242,51.14935878076159,1.6804698806752842
90001_17,5.167697362415968,52.77242123598759,1.5977846027057403
90001_18,4.865546308203038,54.190998989742845,1.5218576668073134
90001_19,4.438908070863993,54.60969972296004,1.5193918338546715
90001_20,4.44774971307115,53.44075419945958,1.5111950705572375
90001_21,6.252770828707177,47.68434165933814,1.6043183001039787
90001_22,8.841292410208696,36.0852913629988,2.3955372963421033
90001_23,10.922722441383671,27.139953055049784,3.0997990337011543
90001_24,13.035870109806341,23.912187115491786,4.0118003220996
90001_25,14.51507843863939,20.948289392097177,4.420043772960811
90001_26,15.553862129535629,18.707061620594338,4.694337080275293
90001_27,16.55146550821976,17.32424497210827,4.675997680043433
90001_28,16.545582596719566,17.35298899211647,4.548323376408874
90001_29,15.688194205454145,19.393841095897397,4.088974882477394
90001_30,13.995589213056892,24.13877494245473,3.250298594720279
90001_31,12.225992670640052,28.449121007780928,3.1427325802673116
90001_32,10.758536084364076,34.428462597425046,2.8109397962642704
90001_33,9.507660129362252,39.84204418428375,2.4526902519625655
90001_34,8.113800682138065,43.32192760768604,2.1936453241454705
90001_35,7.457785601755268,47.445635440485944,1.8478644302024996
90001_36,6.996566090963538,50.00010889618919,1.6009991273044826
90002_00,15.6,26.5,4.25
90002_01,15.8,27.0,6.5
90002_02,16.0,27.0,3.7
90002_03,15.4,30.0,4.3
90002_04,16.182653275040416,27.84675349175495,4.969094239237554
90002_05,15.769411732158026,26.299046933629253,4.8391326760973605
90002_06,14.673704665668032,29.727173764562455,4.1313971694491345
90002_07,13.513425219530454,34.39890159954692,3.6590573972037492
90002_08,12.403692960504978,38.40513562497161,3.0795652045630746
90002_09,10.977335287605547,42.5300678358641,2.570159673028893
90002_10,10.873228164976844,44.44132478254772,2.608456574231998
90002_11,10.512066468762255,46.60141165190542,2.507527293312495
90002_12,9.784599273667235,45.942078623353744,2.703769255982247
90002_13,9.140409377594287,45.52319673797595,2.743795050946545
90002_14,8.64453314557685,46.34011515069744,2.7706747637968423
90002_15,8.205171815225414,46.88727913365321,2.6343655494841145
90002_16,7.688500409878338,46.63743669781768,2.5388685310630406
90002_17,7.362052503136261,46.5592839392688,2.53276463643273
90002_18,7.311838653531614,45.89076612414231,2.7723056672694946
90002_19,7.447945512126923,43.74396673849837,3.1685997482326544
90002_20,8.117115251555546,40.375786010517466,3.2788226053917042
90002_21,8.855247664325116,36.717847749789144,3.753968132926393
90002_22,10.507282736603313,31.132175322789916,4.2803424193620465
