FORE_data,t2m_catboost,rh2m_catboost,w10m_catboost
90001_00,14.0,31.0,1.8
90001_01,16.4,24.0,1.8
90001_02,17.2,23.0,2.7
90001_03,17.6,23.0,2.1
90001_04,17.776006797611874,21.93677851020399,2.050959235493391
90001_05,16.999485448474484,24.081398314350682,1.7827785904383338
90001_06,14.409568379652967,34.79027315524663,1.2238175315430797
90001_07,11.317487339795347,47.783204955200596,1.050670415912355
90001_08,9.005973233818313,57.98324348010332,0.9638181755073802
90001_09,7.125148357684181,64.5683402147573,0.901759956446564
90001_10,5.809559631070958,68.68532600038586,0.8915675744363921
90001_11,4.716332710692468,71.20304465540703,0.8546001708189609
90001_12,4.125204001411049,75.1210740099747,0.9075878568869918
90001_13,4.03917883466512,77.21797367011767,0.8707825975864192
90001_14,3.476861142137351,79.143870529131,0.8295275588167191
90001_15,3.461349458939367,81.5546537141107,0.8193230593828842
90001_16,3.3521783312341213,84.30481101359595,0.774439884855729
90001_17,3.586134786028209,85.05451004536627,0.7987553587824927
90001_18,3.402900085887744,85.2185456271096,0.7864567105664997
90001_19,3.335887938319946,85.84434841382908,0.7391704272362065
90001_20,3.2206779828903085,85.51318305982761,0.7287869947706751
90001_21,4.883931543474827,77.1256005801912,0.7950650603870786
90001_22,8.938328972249522,62.95180233588395,0.8891533636832445
90001_23,12.070827194143535,50.64185785237304,1.0523850431134107
90001_24,14.542020691105817,41.186955552053625,1.317243703111522
90001_25,16.077185650911975,37.248281398764554,1.5310395287232956
90001_26,16.967109688907478,35.07981137875447,1.79600074679878
90001_27,17.490673352788452,33.5511761695521,1.9596940508323661
90001_28,17.385683533619176,33.99651570835015,1.9046003794983017
90001_29,16.852177184315558,37.9358475942409,1.7455339132815695
90001_30,14.836869903796817,50.07123036812375,1.2325213352102131
90001_31,12.665550180299022,57.832134578132376,1.1768441283431728
90001_32,11.11165252006979,63.87068549532829,1.1844039511342719
90001_33,9.832672390457317,67.74437167104605,1.1766676260637032
