FORE_data,t2m_catboost,rh2m_catboost,w10m_catboost
90001_00,12.0,21.0,3.3
90001_01,13.2,20.0,3.2
90001_02,14.1,19.0,4.5
90001_03,14.7,19.0,4.2
90001_04,15.412242851191404,18.006790369391354,4.209653977148643
90001_05,15.099010073455073,19.210221192180033,3.8491660510531807
90001_06,13.42086004039741,24.448540081070018,3.1155430312658954
90001_07,11.918061475360277,29.962331391127794,3.024096698562628
90001_08,10.09628399748828,35.226475326088284,2.696689487100537
90001_09,8.564005353831343,40.13189501295307,2.3733374061157693
90001_10,7.532383017972296,43.94413361522401,2.047923157396253
90001_11,6.834077375451068,47.884929942641016,1.7265693608842474
90001_12,6.0042836577582115,51.16224286182949,1.5604126518846815
90001_13,4.971719752180615,56.939925278546,1.2515177173945626
90001_14,3.632080706926333,60.96587629399136,1.122748047244952
90001_15,2.267275431010835,64.08350132990103,1.0120973311021246
90001_16,1.3948255627928003,66.46542336432546,0.9415420671759729
90001_17,1.1463525872200142,67.4994208723639,0.8610946738854495
90001_18,0.5104851530586842,67.82482449791415,0.8198887181745091
90001_19,0.3003720761204827,67.63303971710987,0.8405742264675976
90001_20,0.2879035906216041,65.88251632933304,0.8378966791485545
90001_21,2.3964309865320943,58.32054872288554,0.9195967366469482
90001_22,5.948173144874192,47.53295674197437,1.573382881039288
90001_23,8.859077144360318,36.030402859357686,2.277227515206058
90001_24,11.64292906015728,29.119240799617806,2.883635481018211
90001_25,13.3921582572852,25.953862147914023,3.502691481812256
90001_26,14.388616033824704,23.815674865635202,3.5333364359769464
90001_27,15.128997650419334,21.162780826587394,3.4628699726049468
90001_28,15.609468298639703,19.9552796731929,3.2513759734193175
90001_29,14.96183294912342,22.219066395221393,2.8599525390144365
90001_30,12.671637384142922,30.771163039836853,2.096928491314175
90001_31,10.096674099251333,39.44796759206076,1.6321023480048387
90001_32,8.38888708320338,48.63294610184025,1.446991124782319
90001_33,6.894537188669528,53.44515400022493,1.3039801034060394
90001_34,5.482106247884109,58.65290572238418,1.1901729316541017
90001_35,4.577126474706447,63.19642410247638,1.1386860708952327
90001_36,3.971758382795921,65.74712761697894,1.0752472853675477
90002_00,12.4,22.0,2.85
90002_01,13.4,21.0,1.4
90002_02,14.3,21.0,5.3
90002_03,15.1,20.0,5.9
90002_04,15.971191572604766,18.950457427784947,5.0216667328778035
90002_05,15.847480414294697,19.830792068021744,4.428214873793642
90002_06,14.451982676662903,23.720863197795712,3.4590076835055417
